종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
017670,SK텔레콤,KOSPI,,53500,100,0.19,53200,53700,52900,298013,15868765300,11491267835500,214790053
330860,네패스아크,KOSDAQ,우량기업부,18500,-380,-2.01,18700,18910,18480,46214,862402850,225404832500,12184045
021880,메이슨캐피탈,KOSDAQ,중견기업부,355,0,0.0,355,360,352,171526,60858399,54025464840,152184408
003960,사조대림,KOSPI,,75800,-2200,-2.82,78000,83000,74100,468734,37331000400,694666598600,9164467
088280,쏘닉스,KOSDAQ,기술성장기업부,2555,-110,-4.13,2665,2695,2555,107193,280127910,44218081950,17306490
004920,씨아이테크,KOSPI,,1094,-9,-0.82,1100,1116,1085,145518,158983399,54771977542,50065793
230240,에치에프알,KOSDAQ,우량기업부,13000,-80,-0.61,12900,13270,12860,17204,224322990,175357338000,13489026
101170,우림피티에스,KOSDAQ,우량기업부,6770,-400,-5.58,7000,7140,6680,450090,3103521040,91395000000,13500000
462520,조선내화,KOSPI,,18040,60,0.33,17900,18100,17810,7078,127480740,213867230720,11855168
018880,한온시스템,KOSPI,,4445,-15,-0.34,4450,4485,4390,849724,3768143185,2372741000000,533800000
220180,핸디소프트,KOSDAQ,벤처기업부,3480,-75,-2.11,3575,3575,3480,32512,113989940,67539840000,19408000
