종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수,날짜
027410,BGF,KOSPI,,,,,,,,,,,95716791,20210101
000590,CS홀딩스,KOSPI,,,,,,,,,,,1154482,20210101
016610,DB금융투자,KOSPI,,,,,,,,,,,42446389,20210101
139130,DGB금융지주,KOSPI,,,,,,,,,,,169145833,20210101
017940,E1,KOSPI,,,,,,,,,,,6860000,20210101
012630,HDC,KOSPI,,,,,,,,,,,59741721,20210101
021320,KCC건설,KOSDAQ,우량기업부,,,,,,,,,,21400000,20210101
009440,KC그린홀딩스,KOSPI,,,,,,,,,,,22434980,20210101
001940,KISCO홀딩스,KOSPI,,,,,,,,,,,18476380,20210101
092230,KPX홀딩스,KOSPI,,,,,,,,,,,4224646,20210101
040610,SG&G,KOSDAQ,중견기업부,,,,,,,,,,34087196,20210101
006120,SK디스커버리,KOSPI,,,,,,,,,,,19037855,20210101
000050,경방,KOSPI,,,,,,,,,,,27415270,20210101
013580,계룡건설,KOSPI,,,,,,,,,,,8930907,20210101
121440,골프존뉴딘홀딩스,KOSDAQ,중견기업부,,,,,,,,,,42836818,20210101
005720,넥센,KOSPI,,,,,,,,,,,53543977,20210101
065560,녹원씨엔아이,KOSDAQ,중견기업부,,,,,,,,,,17260625,20210101
017650,대림제지,KOSDAQ,우량기업부,,,,,,,,,,9000000,20210101
128820,대성산업,KOSPI,,,,,,,,,,,45235478,20210101
007680,대원,KOSDAQ,우량기업부,,,,,,,,,,11955609,20210101
001070,대한방직,KOSPI,,,,,,,,,,,5300000,20210101
001130,대한제분,KOSPI,,,,,,,,,,,1690000,20210101
003830,대한화섬,KOSPI,,,,,,,,,,,1328000,20210101
001230,동국제강,KOSPI,,,,,,,,,,,95432737,20210101
005960,동부건설,KOSPI,,,,,,,,,,,22702024,20210101
001520,동양,KOSPI,,,,,,,,,,,238684063,20210101
013120,동원개발,KOSDAQ,우량기업부,,,,,,,,,,90808100,20210101
004890,동일산업,KOSPI,,,,,,,,,,,2425215,20210101
002690,동일제강,KOSPI,,,,,,,,,,,15000000,20210101
023530,롯데쇼핑,KOSPI,,,,,,,,,,,28288755,20210101
004990,롯데지주,KOSPI,,,,,,,,,,,104909237,20210101
071840,롯데하이마트,KOSPI,,,,,,,,,,,23607712,20210101
101330,모베이스,KOSDAQ,중견기업부,,,,,,,,,,23958188,20210101
001810,무림SP,KOSDAQ,우량기업부,,,,,,,,,,22137500,20210101
009200,무림페이퍼,KOSPI,,,,,,,,,,,41609310,20210101
085620,미래에셋생명,KOSPI,,,,,,,,,,,177016189,20210101
019010,베뉴지,KOSDAQ,중견기업부,,,,,,,,,,48200000,20210101
000070,삼양홀딩스,KOSPI,,,,,,,,,,,8564271,20210101
004440,삼일씨엔에스,KOSPI,,,,,,,,,,,12731947,20210101
004690,삼천리,KOSPI,,,,,,,,,,,4055025,20210101
038540,상상인,KOSDAQ,우량기업부,,,,,,,,,,55328313,20210101
017390,서울가스,KOSPI,,,,,,,,,,,5000000,20210101
011370,서한,KOSDAQ,우량기업부,,,,,,,,,,100894865,20210101
037350,성도이엔지,KOSDAQ,벤처기업부,,,,,,,,,,15470000,20210101
000180,성창기업지주,KOSPI,,,,,,,,,,,69751600,20210101
058650,세아홀딩스,KOSPI,,,,,,,,,,,4000000,20210101
024830,세원물산,KOSDAQ,관리종목(소속부없음),,,,,,,,,,8350000,20210101
021820,세원정공,KOSPI,,,,,,,,,,,10000000,20210101
067830,세이브존I&C,KOSPI,,,,,,,,,,,41040895,20210101
005800,신영와코루,KOSPI,,,,,,,,,,,900000,20210101
127710,아시아경제,KOSDAQ,중견기업부,,,,,,,,,,25508734,20210101
032080,아즈텍WB,KOSDAQ,벤처기업부,,,,,,,,,,21491029,20210101
000670,영풍,KOSPI,,,,,,,,,,,1842040,20210101
012160,영흥,KOSPI,,,,,,,,,,,91013603,20210101
010400,우진아이엔에스,KOSPI,,,,,,,,,,,7622000,20210101
030530,원익홀딩스,KOSDAQ,우량기업부,,,,,,,,,,77237981,20210101
012620,원일특강,KOSDAQ,우량기업부,,,,,,,,,,4400000,20210101
002920,유성기업,KOSPI,,,,,,,,,,,25947500,20210101
024800,유성티엔에스,KOSDAQ,우량기업부,,,,,,,,,,27213580,20210101
023410,유진기업,KOSDAQ,우량기업부,,,,,,,,,,77310863,20210101
003460,유화증권,KOSPI,,,,,,,,,,,56702415,20210101
139480,이마트,KOSPI,,,,,,,,,,,27875819,20210101
129260,인터지스,KOSPI,,,,,,,,,,,29747874,20210101
003200,일신방직,KOSPI,,,,,,,,,,,2400000,20210101
174880,장원테크,KOSDAQ,중견기업부,,,,,,,,,,69485474,20210101
000950,전방,KOSPI,,,,,,,,,,,1680000,20210101
071320,지역난방공사,KOSPI,,,,,,,,,,,11578744,20210101
088790,진도,KOSPI,,,,,,,,,,,12447744,20210101
002020,코오롱,KOSPI,,,,,,,,,,,12626426,20210101
003240,태광산업,KOSPI,,,,,,,,,,,1113400,20210101
363280,티와이홀딩스,KOSPI,,,,,,,,,,,37500902,20210101
104480,티케이케미칼,KOSDAQ,우량기업부,,,,,,,,,,90895434,20210101
106240,파인테크닉스,KOSDAQ,벤처기업부,,,,,,,,,,43407136,20210101
065690,파커스,KOSDAQ,중견기업부,,,,,,,,,,13963509,20210101
003380,하림지주,KOSDAQ,우량기업부,,,,,,,,,,92341820,20210101
034830,한국토지신탁,KOSPI,,,,,,,,,,,252489230,20210101
004150,한솔홀딩스,KOSPI,,,,,,,,,,,42008577,20210101
004960,한신공영,KOSPI,,,,,,,,,,,11570702,20210101
002320,한진,KOSPI,,,,,,,,,,,14947628,20210101
088350,한화생명,KOSPI,,,,,,,,,,,868530000,20210101
000370,한화손해보험,KOSPI,,,,,,,,,,,116738915,20210101
143210,핸즈코퍼레이션,KOSPI,,,,,,,,,,,21863268,20210101
069960,현대백화점,KOSPI,,,,,,,,,,,23402441,20210101
004020,현대제철,KOSPI,,,,,,,,,,,133445785,20210101
057050,현대홈쇼핑,KOSPI,,,,,,,,,,,12000000,20210101
000850,화천기공,KOSPI,,,,,,,,,,,2200000,20210101
005010,휴스틸,KOSPI,,,,,,,,,,,7621668,20210101
000540,흥국화재,KOSPI,,,,,,,,,,,64242645,20210101
027410,BGF,KOSPI,,7270.0,260.0,3.71,7140.0,7500.0,7110.0,3360279.0,24598878940.0,695861070570.0,95716791,20210401
000590,CS홀딩스,KOSPI,,63400.0,-900.0,-1.4,64300.0,64700.0,62400.0,4564.0,289199600.0,73194158800.0,1154482,20210401
016610,DB금융투자,KOSPI,,6070.0,20.0,0.33,6080.0,6180.0,6040.0,259614.0,1585031160.0,257649581230.0,42446389,20210401
139130,DGB금융지주,KOSPI,,8350.0,-90.0,-1.07,8450.0,8480.0,8240.0,654019.0,5456035450.0,1412367705550.0,169145833,20210401
017940,E1,KOSPI,,43100.0,200.0,0.47,43000.0,43250.0,42850.0,13326.0,573938750.0,295666000000.0,6860000,20210401
012630,HDC,KOSPI,,11350.0,100.0,0.89,11250.0,11350.0,11200.0,348692.0,3935993750.0,678068533350.0,59741721,20210401
021320,KCC건설,KOSDAQ,우량기업부,9180.0,40.0,0.44,9140.0,9240.0,9100.0,51828.0,474605090.0,196452000000.0,21400000,20210401
009440,KC그린홀딩스,KOSPI,,4695.0,-15.0,-0.32,4720.0,4755.0,4630.0,77841.0,363369080.0,105332231100.0,22434980,20210401
001940,KISCO홀딩스,KOSPI,,17100.0,-200.0,-1.16,17200.0,17300.0,16700.0,49995.0,852972750.0,315946098000.0,18476380,20210401
092230,KPX홀딩스,KOSPI,,61500.0,1300.0,2.16,60400.0,61500.0,59000.0,15818.0,957934800.0,259815729000.0,4224646,20210401
040610,SG&G,KOSDAQ,중견기업부,2820.0,-60.0,-2.08,2900.0,2905.0,2805.0,1012701.0,2869295375.0,96125892720.0,34087196,20210401
006120,SK디스커버리,KOSPI,,61200.0,400.0,0.66,60800.0,61700.0,60100.0,50444.0,3076565700.0,1165116726000.0,19037855,20210401
000050,경방,KOSPI,,13000.0,-200.0,-1.52,13200.0,13200.0,13000.0,11955.0,155946500.0,356398510000.0,27415270,20210401
013580,계룡건설,KOSPI,,31100.0,-600.0,-1.89,31800.0,32000.0,30750.0,57053.0,1771102800.0,277751207700.0,8930907,20210401
121440,골프존뉴딘홀딩스,KOSDAQ,중견기업부,7150.0,20.0,0.28,7180.0,7200.0,6980.0,241981.0,1714661850.0,306283248700.0,42836818,20210401
005720,넥센,KOSPI,,4735.0,30.0,0.64,4725.0,4785.0,4680.0,131332.0,623176250.0,253530731095.0,53543977,20210401
065560,녹원씨엔아이,KOSDAQ,중견기업부,5770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99593806250.0,17260625,20210401
017650,대림제지,KOSDAQ,우량기업부,13550.0,-50.0,-0.37,13800.0,13800.0,13250.0,84003.0,1130940300.0,121950000000.0,9000000,20210401
128820,대성산업,KOSPI,,4970.0,560.0,12.7,4450.0,5100.0,4450.0,1830912.0,8939719810.0,224820325660.0,45235478,20210401
007680,대원,KOSDAQ,우량기업부,9560.0,-40.0,-0.42,9660.0,9690.0,9530.0,18817.0,180237180.0,115994644360.0,12133331,20210401
001070,대한방직,KOSPI,,42000.0,1050.0,2.56,42500.0,42800.0,41200.0,10236.0,431555150.0,222600000000.0,5300000,20210401
001130,대한제분,KOSPI,,148000.0,500.0,0.34,147500.0,148000.0,146500.0,4005.0,588642000.0,250120000000.0,1690000,20210401
003830,대한화섬,KOSPI,,133500.0,0.0,0.0,133500.0,135500.0,133000.0,591.0,79286500.0,177288000000.0,1328000,20210401
001230,동국제강,KOSPI,,13200.0,-450.0,-3.3,13600.0,13600.0,12900.0,1510071.0,19886474550.0,1259712128400.0,95432737,20210401
005960,동부건설,KOSPI,,13300.0,-150.0,-1.12,13500.0,13600.0,13150.0,73070.0,971873800.0,301995213100.0,22706407,20210401
001520,동양,KOSPI,,1400.0,15.0,1.08,1395.0,1440.0,1390.0,2029350.0,2872679050.0,334157688200.0,238684063,20210401
013120,동원개발,KOSDAQ,우량기업부,5380.0,-20.0,-0.37,5440.0,5470.0,5340.0,169148.0,908406790.0,488547578000.0,90808100,20210401
004890,동일산업,KOSPI,,78800.0,-100.0,-0.13,78900.0,79000.0,78400.0,2096.0,165142400.0,191106942000.0,2425215,20210401
002690,동일제강,KOSPI,,3335.0,0.0,0.0,3340.0,3345.0,3285.0,282168.0,933077150.0,50025000000.0,15000000,20210401
023530,롯데쇼핑,KOSPI,,125500.0,-500.0,-0.4,125500.0,127000.0,124500.0,87080.0,10969372500.0,3550238752500.0,28288755,20210401
004990,롯데지주,KOSPI,,33600.0,-400.0,-1.18,34050.0,34150.0,33600.0,121133.0,4091405250.0,3524950363200.0,104909237,20210401
071840,롯데하이마트,KOSPI,,40900.0,-1000.0,-2.39,41900.0,42150.0,40900.0,74323.0,3064814500.0,965555420800.0,23607712,20210401
101330,모베이스,KOSDAQ,중견기업부,5870.0,260.0,4.63,5580.0,6500.0,5490.0,15070763.0,91402515030.0,140634563560.0,23958188,20210401
001810,무림SP,KOSDAQ,우량기업부,3750.0,25.0,0.67,3735.0,3785.0,3700.0,220128.0,822719710.0,83015625000.0,22137500,20210401
009200,무림페이퍼,KOSPI,,2870.0,-40.0,-1.37,2915.0,2945.0,2865.0,108951.0,315462930.0,119418719700.0,41609310,20210401
085620,미래에셋생명,KOSPI,,4110.0,-90.0,-2.14,4200.0,4215.0,4100.0,159570.0,662716025.0,727536536790.0,177016189,20210401
019010,베뉴지,KOSDAQ,중견기업부,2040.0,115.0,5.97,1925.0,2065.0,1915.0,2076857.0,4171673965.0,98328000000.0,48200000,20210401
000070,삼양홀딩스,KOSPI,,92500.0,-1200.0,-1.28,93800.0,94500.0,92200.0,21880.0,2035935300.0,792195067500.0,8564271,20210401
004440,삼일씨엔에스,KOSPI,,16300.0,-650.0,-3.83,16950.0,16950.0,16050.0,300535.0,4922543650.0,207530736100.0,12731947,20210401
004690,삼천리,KOSPI,,78400.0,0.0,0.0,78800.0,79000.0,77900.0,21920.0,1715759200.0,317913960000.0,4055025,20210401
038540,상상인,KOSDAQ,우량기업부,6600.0,-20.0,-0.3,6630.0,6670.0,6550.0,229920.0,1517239000.0,365166865800.0,55328313,20210401
017390,서울가스,KOSPI,,89100.0,300.0,0.34,89100.0,89200.0,88800.0,2249.0,200299700.0,445500000000.0,5000000,20210401
011370,서한,KOSDAQ,우량기업부,1605.0,10.0,0.63,1640.0,1665.0,1595.0,4092186.0,6665949835.0,161936258325.0,100894865,20210401
037350,성도이엔지,KOSDAQ,벤처기업부,5970.0,90.0,1.53,5910.0,5990.0,5880.0,187414.0,1112155910.0,92355900000.0,15470000,20210401
000180,성창기업지주,KOSPI,,2355.0,-25.0,-1.05,2395.0,2395.0,2350.0,162302.0,383844795.0,164265018000.0,69751600,20210401
058650,세아홀딩스,KOSPI,,85500.0,1100.0,1.3,84500.0,86500.0,84200.0,2863.0,243948500.0,342000000000.0,4000000,20210401
024830,세원물산,KOSDAQ,관리종목(소속부없음),6280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52438000000.0,8350000,20210401
021820,세원정공,KOSPI,,8090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80900000000.0,10000000,20210401
067830,세이브존I&C,KOSPI,,3680.0,45.0,1.24,3700.0,3710.0,3635.0,133036.0,487297900.0,151030493600.0,41040895,20210401
005800,신영와코루,KOSPI,,97900.0,200.0,0.2,98800.0,99300.0,96900.0,508.0,50037000.0,88110000000.0,900000,20210401
127710,아시아경제,KOSDAQ,중견기업부,2230.0,-25.0,-1.11,2255.0,2280.0,2230.0,206474.0,464382265.0,56884476820.0,25508734,20210401
032080,아즈텍WB,KOSDAQ,벤처기업부,2540.0,-35.0,-1.36,2580.0,2600.0,2540.0,147130.0,376684945.0,54587213660.0,21491029,20210401
000670,영풍,KOSPI,,582000.0,0.0,0.0,582000.0,582000.0,575000.0,1243.0,720504000.0,1072067280000.0,1842040,20210401
012160,영흥,KOSPI,,1145.0,-5.0,-0.43,1150.0,1155.0,1140.0,262171.0,300686245.0,109135304020.0,95314676,20210401
010400,우진아이엔에스,KOSPI,,7960.0,90.0,1.14,7870.0,8000.0,7870.0,16995.0,134449070.0,60671120000.0,7622000,20210401
030530,원익홀딩스,KOSDAQ,우량기업부,6770.0,160.0,2.42,6700.0,6850.0,6700.0,468942.0,3166480440.0,522901131370.0,77237981,20210401
012620,원일특강,KOSDAQ,우량기업부,10650.0,0.0,0.0,10650.0,10900.0,10650.0,15199.0,163482950.0,46860000000.0,4400000,20210401
002920,유성기업,KOSPI,,3215.0,80.0,2.55,3175.0,3230.0,3145.0,148843.0,475804950.0,83421212500.0,25947500,20210401
024800,유성티엔에스,KOSDAQ,우량기업부,3530.0,-50.0,-1.4,3575.0,3575.0,3490.0,386627.0,1362995555.0,96063937400.0,27213580,20210401
023410,유진기업,KOSDAQ,우량기업부,5650.0,-70.0,-1.22,5660.0,5770.0,5480.0,1704448.0,9526961080.0,436806375950.0,77310863,20210401
003460,유화증권,KOSPI,,2615.0,70.0,2.75,2570.0,2630.0,2540.0,479417.0,1242464210.0,148276815225.0,56702415,20210401
139480,이마트,KOSPI,,168500.0,-2500.0,-1.46,171500.0,172000.0,168000.0,256948.0,43516783500.0,4697075501500.0,27875819,20210401
129260,인터지스,KOSPI,,4320.0,30.0,0.7,4270.0,4330.0,4200.0,899792.0,3848116860.0,128510815680.0,29747874,20210401
003200,일신방직,KOSPI,,94700.0,200.0,0.21,94400.0,95500.0,94000.0,4495.0,426717000.0,227280000000.0,2400000,20210401
174880,장원테크,KOSDAQ,중견기업부,978.0,-3.0,-0.31,987.0,991.0,964.0,1058477.0,1031117196.0,70417277268.0,72001306,20210401
000950,전방,KOSPI,,38800.0,-250.0,-0.64,39050.0,39450.0,38000.0,4740.0,182899700.0,65184000000.0,1680000,20210401
071320,지역난방공사,KOSPI,,38400.0,50.0,0.13,38350.0,38450.0,38200.0,6826.0,261533650.0,444623769600.0,11578744,20210401
088790,진도,KOSPI,,6060.0,80.0,1.34,5980.0,6210.0,5870.0,2043034.0,12410965700.0,75433328640.0,12447744,20210401
002020,코오롱,KOSPI,,25800.0,2600.0,11.21,23450.0,26500.0,23300.0,1242039.0,31443414750.0,325761790800.0,12626426,20210401
003240,태광산업,KOSPI,,924000.0,4000.0,0.43,914000.0,929000.0,913000.0,743.0,686958000.0,1028781600000.0,1113400,20210401
363280,티와이홀딩스,KOSPI,,25700.0,-600.0,-2.28,26400.0,26450.0,25600.0,225177.0,5838631750.0,1032410505500.0,40171615,20210401
104480,티케이케미칼,KOSDAQ,우량기업부,3775.0,-40.0,-1.05,3760.0,3855.0,3720.0,3327569.0,12561648420.0,343130263350.0,90895434,20210401
106240,파인테크닉스,KOSDAQ,벤처기업부,6800.0,400.0,6.25,6500.0,7140.0,6460.0,5239891.0,35858670600.0,303565838000.0,44642035,20210401
065690,파커스,KOSDAQ,중견기업부,3080.0,30.0,0.98,3060.0,3085.0,3020.0,44703.0,136525550.0,43007607720.0,13963509,20210401
003380,하림지주,KOSDAQ,우량기업부,9530.0,270.0,2.92,9300.0,9550.0,9280.0,580372.0,5480015630.0,880017544600.0,92341820,20210401
034830,한국토지신탁,KOSPI,,2425.0,15.0,0.62,2405.0,2495.0,2400.0,3717817.0,9070031475.0,612286382750.0,252489230,20210401
004150,한솔홀딩스,KOSPI,,3860.0,-20.0,-0.52,3900.0,3900.0,3820.0,287541.0,1109290505.0,162153107220.0,42008577,20210401
004960,한신공영,KOSPI,,20000.0,-150.0,-0.74,20250.0,20300.0,19950.0,42060.0,844137700.0,231414040000.0,11570702,20210401
002320,한진,KOSPI,,42900.0,-100.0,-0.23,42800.0,42950.0,42550.0,53860.0,2300087050.0,641253241200.0,14947628,20210401
088350,한화생명,KOSPI,,3140.0,-70.0,-2.18,3210.0,3260.0,3125.0,8459527.0,26953740770.0,2727184200000.0,868530000,20210401
000370,한화손해보험,KOSPI,,4920.0,40.0,0.82,4935.0,4940.0,4750.0,1708132.0,8260670920.0,574355461800.0,116738915,20210401
143210,핸즈코퍼레이션,KOSPI,,6740.0,30.0,0.45,6680.0,6780.0,6660.0,36760.0,246209380.0,147358426320.0,21863268,20210401
069960,현대백화점,KOSPI,,88400.0,-2300.0,-2.54,90900.0,91100.0,88100.0,228250.0,20350569100.0,2068775784400.0,23402441,20210401
