종목명,자산 총액,부채 총액,자본 총액,매출액,영업이익,순이익,현금 흐름,종목코드,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수,BVPS,적정 주가
한신공영,2629614663437,1875953149313,753661514124,289285443060,8505311752,1045291720,35232535512,004960,KOSPI,,6800,40,0.59,6750,6840,6700,12021,81479960,78680773600,11570702,65135.331816859514,65135.331816859514
전방,235342219409,45202428175,190139791234,15691387966,-990475612,320313912,6661182397,000950,KOSPI,,20400,0,0.0,20400,20450,20350,74,1507800,34272000000,1680000,113178.44716309523,113178.44716309523
태광산업,4628806390416,689137608780,3939668781636,554392628712,-6279010679,39703587293,16160072648,003240,KOSPI,,624000,5000,0.81,619000,630000,617000,335,208655000,694761600000,1113400,3538412.773159691,3538412.773159691
이마트,33940447679089,19936697771742,14003749907347,7206713073664,47103670579,29378301038,-152076224314,139480,KOSPI,,57500,1900,3.42,55200,57900,55200,163753,9330474700,1602859592500,27875819,502361.9183116019,502361.9183116019
녹원씨엔아이,62020244026,21909576271,40110667755,4489512729,139375943,532526960,816817524,065560,KOSDAQ,관리종목(소속부없음),305,-20,-6.15,329,329,268,3989204,1171834779,5014436680,16440776,2439.7064807038305,2439.7064807038305
영풍,5524987172161,1255542489682,4269444682479,741422366216,-43197515058,-8400290376,18367246242,000670,KOSPI,,313500,2000,0.64,311500,316000,306500,1358,421008000,577479540000,1842040,2317780.657574754,2317780.657574754
동국홀딩스,2456049432178,676735224115,1779314208063,439836828084,13103287530,17516652611,45114292027,001230,KOSPI,,8230,-40,-0.48,8180,8300,8170,38798,319701790,261717975090,31800483,55952.42713964439,55952.42713964439
유성티엔에스,668399813608,172064452350,496335361258,52087655118,664223191,31686134307,-4837262978,024800,KOSDAQ,우량기업부,2050,0,0.0,2050,2080,2035,7362,15054770,75956214600,37051812,13395.71088339755,13395.71088339755
SG&G,418200877608,65646493210,352554384398,13432402587,2201853711,6393689217,3224984512,040610,KOSDAQ,중견기업부,1644,-27,-1.62,1653,1679,1644,72729,120607607,56039350224,34087196,10342.721777350063,10342.721777350063
SUN&L,529834033044,302010837700,227823195344,87209853577,-1505046241,-3597724013,-498410580,002820,KOSPI,,3175,-215,-6.34,3370,3385,3170,56431,184345340,40030365075,12607989,18069.74889841671,18069.74889841671
대한방직,181337366165,50411114198,130926251967,27855706448,-147172823,-118694068,4061796225,001070,KOSPI,,6060,0,0.0,6060,6090,6000,2500,15082470,32118000000,5300000,24703.066408867926,24703.066408867926
장원테크,80818283279,13040384193,67777899086,19058475710,1156774459,1476064771,277191685,174880,KOSDAQ,관리종목(소속부없음),2650,0,0.0,0,0,0,0,0,11610352250,4381265,15469.938268057285,15469.938268057285
한화생명,148251890421629,133576528120980,14675362300649,,,368322391654,-130045656449,088350,KOSPI,,2985,15,0.51,2945,3025,2940,940081,2804624830,2592562050000,868530000,16896.78226503287,16896.78226503287
영흥,562139970560,331641189299,230498781261,125035042356,3871889228,2535302836,-5958740049,012160,KOSPI,,514,-11,-2.1,525,535,510,169644,88698978,52073531208,101310372,2275.174562195863,2275.174562195863
HDC,12062280469590,7064668522929,4997611946661,1370737682190,75613081789,40010826567,243072099975,012630,KOSPI,,8970,180,2.05,8770,9060,8770,167575,1499745120,535883237370,59741721,83653.63205156075,83653.63205156075
핸즈코퍼레이션,965475479704,697878190589,267597289115,197572657913,-10074464485,-16810241570,-10668377574,143210,KOSPI,,2250,-5,-0.22,2275,2275,2205,29574,65547460,49220430750,21875747,12232.60120511542,12232.60120511542
롯데쇼핑,30879456280332,20196299623964,10683156656368,3513305938897,114871108389,72861278452,156658252017,023530,KOSPI,,60600,100,0.17,60400,61200,60200,36793,2229311500,1714298553000,28288755,377646.75951161515,377646.75951161515
DB금융투자,10742302624737,9551828260670,1190474364067,365467265126,,21824445332,40884648965,016610,KOSPI,,4435,-25,-0.56,4420,4475,4410,33126,147048415,188249735215,42446389,28046.54040340157,28046.54040340157
현대제철,35191472597939,15713686487310,19477786110629,5947782420213,55802911222,32222219919,40100209791,004020,KOSPI,,26900,-850,-3.06,27750,27750,26650,628668,17057627350,3589691616500,133445785,145960.29474163608,145960.29474163608
화천기공,467938894792,121622522381,346316372411,47147966401,1289826191,2794810254,3378651588,000850,KOSPI,,30000,-50,-0.17,30000,30100,29850,1113,33324400,66000000000,2200000,157416.5329140909,157416.5329140909
세아홀딩스,6103604597866,2994929827086,3108674770780,1518187954198,35912529225,23849749474,21232734432,058650,KOSPI,,104600,1100,1.06,104900,104900,104000,62,6492400,418400000000,4000000,777168.692695,777168.692695
무림SP,308462960124,108577484556,199885475568,44160187573,-280101641,101656738,-21878817450,001810,KOSDAQ,중견기업부,1720,8,0.47,1695,1725,1685,2977,5070671,38076500000,22137500,9029.270494319593,9029.270494319593
동부건설,1886101529227,1335829000947,550272528280,419720749444,-18631333241,-17268019402,14762101636,005960,KOSPI,,4875,-30,-0.61,4870,4955,4840,13828,67193510,111863431875,22946345,23980.835652911173,23980.835652911173
한진,4199052742106,2672691420146,1526361321960,712161042227,23386541313,-3351709203,55238632902,002320,KOSPI,,19010,-20,-0.11,19030,19100,18960,11506,218781860,284154408280,14947628,102113.94891283085,102113.94891283085
성창기업지주,768284220430,197562576109,570721644321,37967151644,-499222258,-1291624913,-1026723157,000180,KOSPI,,1680,-3,-0.18,1680,1691,1676,32310,54424617,117182688000,69751600,8182.201473815654,8182.201473815654
동양,1147582443236,365771911798,781810531438,192349029272,3111737483,1161229857,-1381864030,001520,KOSPI,,825,-12,-1.43,836,836,823,265596,219624906,196914351975,238684063,3275.503699792474,3275.503699792474
삼일씨엔에스,356087205300,86618278215,269468927085,50681040813,1228652933,405139557,14645193261,004440,KOSPI,,4300,-50,-1.15,4355,4355,4290,6949,29985095,54747372100,12731947,21164.785486854445,21164.785486854445
한솔홀딩스,718148680000,126212612000,591936068000,104517744000,-1326703000,3726933000,-3018312000,004150,KOSPI,,2665,-10,-0.37,2675,2685,2645,32472,86346970,111952857705,42008577,14090.838354272271,14090.838354272271
