종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","2355","40","1.73","2315","2365","2275","437193","1015362975","120304331910","51084642"
"095570","AJ네트웍스","KOSPI",,"4440","35","0.79","4405","4450","4390","57747","255151875","200922249960","45252759"
"006840","AK홀딩스","KOSPI",,"13930","0","0.00","13940","13950","13880","1576","21923310","184538524730","13247561"
"054620","APS","KOSDAQ","중견기업부","6670","-20","-0.30","6720","6730","6610","22848","151966260","132694454070","19894221"
"265520","AP시스템","KOSDAQ","우량기업부","21600","-150","-0.69","21600","22000","21500","80882","1756047200","330078693600","15281421"
"211270","AP위성","KOSDAQ","벤처기업부","14400","300","2.13","13910","14750","13910","141241","2035673490","217185177600","15082304"
"109960","AP헬스케어","KOSDAQ","중견기업부","793","33","4.34","762","808","751","957591","757580412","90523463017","114153169"
"139050","BF랩스","KOSDAQ","관리종목(소속부없음)","2805","0","0.00","0","0","0","0","0","24247965555","8644551"
"027410","BGF","KOSPI",,"3555","-10","-0.28","3545","3570","3530","60382","213989565","340273192005","95716791"
"282330","BGF리테일","KOSPI",,"102700","1100","1.08","101600","103800","101000","32382","3319866100","1775057146200","17283906"
"126600","BGF에코머티리얼즈","KOSDAQ","우량기업부","4020","-5","-0.12","4025","4060","3990","48010","193559460","252322933980","62766899"
"138930","BNK금융지주","KOSPI",,"8570","-50","-0.58","8630","8740","8550","342794","2950346840","2760297913660","322088438"
"001460","BYC","KOSPI",,"33100","-250","-0.75","33400","33750","33100","1012","33669600","206747565000","6246150"
"001465","BYC우","KOSPI",,"15090","-30","-0.20","15110","15110","15090","26","392770","32501596500","2153850"
"013720","CBI","KOSDAQ","중견기업부","1199","-18","-1.48","1201","1216","1197","149696","180345463","53509135064","44628136"
"083790","CG인바이츠","KOSDAQ","벤처기업부","2570","0","0.00","2575","2705","2560","67713","175356205","197618047740","76894182"
"001040","CJ","KOSPI",,"126300","-1200","-0.94","126500","131800","124000","135742","17170566700","3685054847400","29176998"
"079160","CJ CGV","KOSPI",,"5600","-60","-1.06","5650","5700","5570","318874","1793614290","927244925600","165579451"
"035760","CJ ENM","KOSDAQ GLOBAL","중견기업부","76800","1000","1.32","74300","77500","74300","32713","2508207300","1684159027200","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","12710","-90","-0.70","12710","13380","12600","5285","67924700","115819900420","9112502"
"00104K","CJ4우(전환)","KOSPI",,"94200","-1200","-1.26","95000","95300","91700","10735","1002711100","398137430400","4226512"
"000120","CJ대한통운","KOSPI",,"96000","2900","3.11","92300","97000","91600","138210","13239836500","2189985024000","22812344"
"011150","CJ씨푸드","KOSPI",,"4235","-75","-1.74","4340","4670","4235","5798538","26172445180","152166823655","35930773"
"011155","CJ씨푸드1우","KOSPI",,"21250","200","0.95","21050","21250","20800","433","9094700","4250000000","200000"
"001045","CJ우","KOSPI",,"59900","100","0.17","59700","60400","58900","2741","162701900","135387357700","2260223"
"097950","CJ제일제당","KOSPI",,"385000","0","0.00","380500","390000","376500","22442","8611392500","5795861610000","15054186"
"097955","CJ제일제당 우","KOSPI",,"151700","-1100","-0.72","152000","152600","150100","1438","217747000","201371586100","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","19660","50","0.25","19610","19780","19550","12801","251062920","233395380760","11871586"
"058820","CMG제약","KOSDAQ","우량기업부","2350","5","0.21","2325","2385","2310","1428699","3362337215","326396773400","138892244"
"023460","CNH","KOSDAQ","중견기업부","2405","-20","-0.82","2135","2550","1930","934023","2079129981","89466000000","37200000"
"056730","CNT85","KOSDAQ","중견기업부","869","1","0.12","863","895","863","18539","16149914","64402620634","74111186"
"000480","CR홀딩스","KOSPI",,"5950","40","0.68","5940","5960","5910","8137","48212320","278998415500","46890490"
"065770","CS","KOSDAQ","벤처기업부","1140","-10","-0.87","1150","1162","1140","10561","12123533","22128688200","19411130"
"083660","CSA 코스믹","KOSDAQ","중견기업부","997","-8","-0.80","1004","1012","964","35303","35093480","61063439457","61247181"
"000590","CS홀딩스","KOSPI",,"69200","100","0.14","69100","69300","68600","338","23364800","79890154400","1154482"
"012030","DB","KOSPI",,"1170","-3","-0.26","1171","1185","1165","233277","274197999","235373501610","201173933"
"456440","DB금융스팩11호","KOSDAQ","SPAC(소속부없음)","2340","-5","-0.21","2345","2355","2330","3126","7327325","12437100000","5315000"
"477760","DB금융스팩12호","KOSDAQ","SPAC(소속부없음)","2125","-10","-0.47","2120","2150","2110","61378","130092755","12410000000","5840000"
"016610","DB금융투자","KOSPI",,"4435","-25","-0.56","4420","4475","4410","33126","147048415","188249735215","42446389"
"005830","DB손해보험","KOSPI",,"106300","0","0.00","105300","108000","105200","54226","5777609100","7526040000000","70800000"
"000990","DB하이텍","KOSPI",,"52400","-300","-0.57","52200","53100","51200","408235","21305693700","2326486011200","44398588"
"139130","DGB금융지주","KOSPI",,"8020","-40","-0.50","8030","8100","8000","176948","1421944540","1356549580660","169145833"
"060900","DGP","KOSDAQ","중견기업부","1064","-24","-2.21","1084","1088","1045","57799","61080364","26874755656","25258229"
"290120","DH오토리드","KOSDAQ","우량기업부","2835","0","0.00","2850","2865","2810","7665","21700350","43985416230","15515138"
"025440","DH오토웨어","KOSDAQ","중견기업부","380","-4","-1.04","381","392","380","85893","32959727","58484325600","153906120"
"001530","DI동일","KOSPI",,"28900","800","2.85","28000","29100","28000","118559","3407017550","728732920800","25215672"
"000210","DL","KOSPI",,"54400","700","1.30","53200","54900","52900","25174","1363219900","1140000089600","20955884"
"000215","DL우","KOSPI",,"26800","-450","-1.65","27400","27700","26750","12002","323631450","45187882000","1686115"
"375500","DL이앤씨","KOSPI",,"32650","0","0.00","32450","33100","32350","42906","1404845050","1263346790950","38693623"
"37550L","DL이앤씨2우(전환)","KOSPI",,"22400","-150","-0.67","22500","22650","22300","1255","28172450","47307702400","2111951"
"37550K","DL이앤씨우","KOSPI",,"16790","-250","-1.47","17130","17130","16770","10595","178892940","35492129150","2113885"
"068790","DMS","KOSDAQ","우량기업부","5770","40","0.70","5730","5860","5700","69286","401321340","141786561970","24573061"
"007340","DN오토모티브","KOSPI",,"82800","700","0.85","82600","83000","81600","9511","785561000","827503614000","9994005"
"004840","DRB동일","KOSPI",,"5120","-50","-0.97","5100","5160","5070","19120","97803010","102041600000","19930000"
"241520","DSC인베스트먼트","KOSDAQ","중견기업부","3175","-75","-2.31","3220","3275","3175","83923","269210115","87300196875","27496125"
"155660","DSR","KOSPI",,"4320","-10","-0.23","4330","4335","4305","4472","19301005","69120000000","16000000"
"069730","DSR제강","KOSPI",,"4245","-100","-2.30","4365","4390","4230","59171","254956740","61128000000","14400000"
