종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부",,,,,,,,,,"46271513"
"095570","AJ네트웍스","KOSPI",,,,,,,,,,,"46822295"
"006840","AK홀딩스","KOSPI",,,,,,,,,,,"13247561"
"054620","APS홀딩스","KOSDAQ","중견기업부",,,,,,,,,,"20394221"
"265520","AP시스템","KOSDAQ","우량기업부",,,,,,,,,,"15281421"
"211270","AP위성","KOSDAQ","벤처기업부",,,,,,,,,,"15082304"
"027410","BGF","KOSPI",,,,,,,,,,,"95716791"
"282330","BGF리테일","KOSPI",,,,,,,,,,,"17283906"
"032790","BNGT","KOSDAQ","관리종목(소속부없음)",,,,,,,,,,"29534345"
"138930","BNK금융지주","KOSPI",,,,,,,,,,,"325935246"
"001460","BYC","KOSPI",,,,,,,,,,,"624615"
"001465","BYC우","KOSPI",,,,,,,,,,,"215385"
"013720","CBI","KOSDAQ","중견기업부",,,,,,,,,,"52809535"
"001040","CJ","KOSPI",,,,,,,,,,,"29176998"
"079160","CJ CGV","KOSPI",,,,,,,,,,,"37953412"
"035760","CJ ENM","KOSDAQ","우량기업부",,,,,,,,,,"21929154"
"00104K","CJ4우(전환)","KOSPI",,,,,,,,,,,"4226512"
"000120","CJ대한통운","KOSPI",,,,,,,,,,,"22812344"
"011150","CJ씨푸드","KOSPI",,,,,,,,,,,"35930773"
"011155","CJ씨푸드1우","KOSPI",,,,,,,,,,,"200000"
"001045","CJ우","KOSPI",,,,,,,,,,,"2260223"
"097950","CJ제일제당","KOSPI",,,,,,,,,,,"15054186"
"097955","CJ제일제당 우","KOSPI",,,,,,,,,,,"1327433"
"051500","CJ프레시웨이","KOSDAQ","중견기업부",,,,,,,,,,"11871586"
"058820","CMG제약","KOSDAQ","우량기업부",,,,,,,,,,"138892244"
"023460","CNH","KOSDAQ","벤처기업부",,,,,,,,,,"37200000"
"056730","CNT85","KOSDAQ","관리종목(소속부없음)",,,,,,,,,,"70703912"
"056000","COWON","KOSDAQ","투자주의환기종목(소속부없음)",,,,,,,,,,"19720225"
"065770","CS","KOSDAQ","벤처기업부",,,,,,,,,,"19411130"
"083660","CSA 코스믹","KOSDAQ","관리종목(소속부없음)",,,,,,,,,,"37934114"
"000590","CS홀딩스","KOSPI",,,,,,,,,,,"1154482"
"012030","DB","KOSPI",,,,,,,,,,,"201173933"
"367340","DB금융스팩8호","KOSDAQ","SPAC(소속부없음)",,,,,,,,,,"6050000"
"367360","DB금융스팩9호","KOSDAQ","SPAC(소속부없음)",,,,,,,,,,"4840000"
"016610","DB금융투자","KOSPI",,,,,,,,,,,"42446389"
"005830","DB손해보험","KOSPI",,,,,,,,,,,"70800000"
"000990","DB하이텍","KOSPI",,,,,,,,,,,"44398588"
"000995","DB하이텍1우","KOSPI",,,,,,,,,,,"112316"
"139130","DGB금융지주","KOSPI",,,,,,,,,,,"169145833"
"001530","DI동일","KOSPI",,,,,,,,,,,"2510655"
"000210","DL","KOSPI",,,,,,,,,,,"20955884"
"001880","DL건설","KOSPI",,,,,,,,,,,"22053284"
"000215","DL우","KOSPI",,,,,,,,,,,"1686115"
"375500","DL이앤씨","KOSPI",,,,,,,,,,,"19358738"
"37550K","DL이앤씨우","KOSPI",,,,,,,,,,,"2113885"
"068790","DMS","KOSDAQ","우량기업부",,,,,,,,,,"24573061"
"004840","DRB동일","KOSPI",,,,,,,,,,,"19930000"
"241520","DSC인베스트먼트","KOSDAQ","벤처기업부",,,,,,,,,,"27811403"
"155660","DSR","KOSPI",,,,,,,,,,,"16000000"
"069730","DSR제강","KOSPI",,,,,,,,,,,"14400000"
"017940","E1","KOSPI",,,,,,,,,,,"6860000"
"245620","EDGC","KOSDAQ","기술성장기업부",,,,,,,,,,"83692876"
"037370","EG","KOSDAQ","중견기업부",,,,,,,,,,"8287477"
"278990","EMB","KONEX","일반기업부",,,,,,,,,,"3628222"
"079190","EMW","KOSDAQ","벤처기업부",,,,,,,,,,"31784197"
"365550","ESR켄달스퀘어리츠","KOSPI",,,,,,,,,,,"213089000"
"050120","ES큐브","KOSDAQ","중견기업부",,,,,,,,,,"13564086"
"383220","F&F","KOSPI",,,,,,,,,,,"7661415"
"007700","F&F홀딩스","KOSPI",,,,,,,,,,,"39114367"
"214270","FSN","KOSDAQ","중견기업부",,,,,,,,,,"26452717"
"130500","GH신소재","KOSDAQ","중견기업부",,,,,,,,,,"14545052"
"114090","GKL","KOSPI",,,,,,,,,,,"61855670"
"900290","GRT","KOSDAQ","외국기업(소속부없음)",,,,,,,,,,"67375000"
"078930","GS","KOSPI",,,,,,,,,,,"92915378"
"083450","GST","KOSDAQ","우량기업부",,,,,,,,,,"9317745"
"006360","GS건설","KOSPI",,,,,,,,,,,"85581490"
"001250","GS글로벌","KOSPI",,,,,,,,,,,"82533764"
