종목코드,종목명,EPS,BPS,PER,PBR,날짜,종가,거래량,상장주식수
060310,3S,30.0,947.0,76.0,2.41,20240304,2880.0,668831.0,48536642.0
060310,3S,30.0,947.0,76.0,2.41,20240305,2790.0,908884.0,48536642.0
060310,3S,30.0,947.0,76.0,2.41,20240306,2790.0,643726.0,48536642.0
060310,3S,30.0,947.0,76.0,2.41,20240307,2790.0,1865313.0,48536642.0
060310,3S,30.0,947.0,76.0,2.41,20240308,2810.0,832167.0,48536642.0
095570,AJ네트웍스,367.0,9326.0,12.1,0.48,20240304,4635.0,90067.0,45252759.0
095570,AJ네트웍스,367.0,9326.0,12.1,0.48,20240305,4575.0,115533.0,45252759.0
095570,AJ네트웍스,367.0,9326.0,12.1,0.48,20240306,4560.0,68502.0,45252759.0
095570,AJ네트웍스,367.0,9326.0,12.1,0.48,20240307,4510.0,63047.0,45252759.0
095570,AJ네트웍스,367.0,9326.0,12.1,0.48,20240308,4565.0,150980.0,45252759.0
006840,AK홀딩스,2635.0,44339.0,5.19,0.31,20240304,16180.0,8335.0,13247561.0
006840,AK홀딩스,2635.0,44339.0,5.19,0.31,20240305,16040.0,8432.0,13247561.0
006840,AK홀딩스,2635.0,44339.0,5.19,0.31,20240306,15940.0,6177.0,13247561.0
006840,AK홀딩스,2635.0,44339.0,5.19,0.31,20240307,15970.0,10764.0,13247561.0
006840,AK홀딩스,2635.0,44339.0,5.19,0.31,20240308,15950.0,10237.0,13247561.0
054620,APS,667.0,11683.0,10.09,0.58,20240304,7000.0,27892.0,20394221.0
054620,APS,667.0,11683.0,10.09,0.58,20240305,6820.0,33454.0,20394221.0
054620,APS,667.0,11683.0,10.09,0.58,20240306,6770.0,42986.0,20394221.0
054620,APS,667.0,11683.0,10.09,0.58,20240307,6850.0,33521.0,20394221.0
054620,APS,667.0,11683.0,10.09,0.58,20240308,6930.0,70571.0,20394221.0
265520,AP시스템,3997.0,21396.0,5.13,0.96,20240304,21200.0,57705.0,15281421.0
265520,AP시스템,3997.0,21396.0,5.13,0.96,20240305,20700.0,52303.0,15281421.0
265520,AP시스템,3997.0,21396.0,5.13,0.96,20240306,21350.0,76408.0,15281421.0
265520,AP시스템,3997.0,21396.0,5.13,0.96,20240307,21750.0,188784.0,15281421.0
265520,AP시스템,3997.0,21396.0,5.13,0.96,20240308,21850.0,107749.0,15281421.0
211270,AP위성,739.0,6680.0,17.73,1.96,20240304,15750.0,218160.0,15082304.0
211270,AP위성,739.0,6680.0,17.73,1.96,20240305,15890.0,149818.0,15082304.0
211270,AP위성,739.0,6680.0,17.73,1.96,20240306,16060.0,293335.0,15082304.0
211270,AP위성,739.0,6680.0,17.73,1.96,20240307,15560.0,170753.0,15082304.0
211270,AP위성,739.0,6680.0,17.73,1.96,20240308,16100.0,212101.0,15082304.0
109960,AP헬스케어,80.0,2518.0,8.96,0.28,,,,
139050,BF랩스,11.0,5250.0,255.0,0.53,20240304,7540.0,44584.0,8592111.0
139050,BF랩스,11.0,5250.0,255.0,0.53,20240305,7270.0,61543.0,8592111.0
139050,BF랩스,11.0,5250.0,255.0,0.53,20240306,7490.0,36349.0,8592111.0
139050,BF랩스,11.0,5250.0,255.0,0.53,20240307,7310.0,39498.0,8592111.0
139050,BF랩스,11.0,5250.0,255.0,0.53,20240308,7340.0,78106.0,8592111.0
027410,BGF,813.0,17286.0,4.38,0.21,20240304,3925.0,78711.0,95716791.0
027410,BGF,813.0,17286.0,4.38,0.21,20240305,3855.0,100904.0,95716791.0
027410,BGF,813.0,17286.0,4.38,0.21,20240306,3820.0,108158.0,95716791.0
027410,BGF,813.0,17286.0,4.38,0.21,20240307,3765.0,135356.0,95716791.0
027410,BGF,813.0,17286.0,4.38,0.21,20240308,3805.0,60471.0,95716791.0
282330,BGF리테일,11337.0,62197.0,9.0,1.64,20240304,131000.0,51161.0,17283906.0
282330,BGF리테일,11337.0,62197.0,9.0,1.64,20240305,130000.0,51474.0,17283906.0
282330,BGF리테일,11337.0,62197.0,9.0,1.64,20240306,130400.0,34435.0,17283906.0
