구 분,제56기 1분기,제55기,제54기
,2024년 3월말,2023년 12월말,2022년 12월말
[유동자산],"208,544,280","195,936,557","218,470,581"
ㆍ현금및현금성자산,"61,906,097","69,080,893","49,680,710"
ㆍ단기금융상품,"35,458,597","22,690,924","65,102,886"
ㆍ기타유동금융자산,"28,132","635,393","443,690"
ㆍ매출채권,"41,145,391","36,647,393","35,721,563"
ㆍ재고자산,"53,347,700","51,625,874","52,187,866"
ㆍ기타,"16,658,363","15,256,080","15,333,866"
[비유동자산],"262,355,532","259,969,423","229,953,926"
ㆍ기타비유동금융자산,"9,594,423","8,912,691","12,802,480"
ㆍ관계기업 및 공동기업 투자,"11,907,773","11,767,444","10,893,869"
ㆍ유형자산,"191,155,560","187,256,262","168,045,388"
ㆍ무형자산,"23,246,603","22,741,862","20,217,754"
ㆍ기타,"26,451,173","29,291,164","17,994,435"
자산총계,"470,899,812","455,905,980","448,424,507"
[유동부채],"81,770,355","75,719,452","78,344,852"
[비유동부채],"17,213,333","16,508,663","15,330,051"
부채총계,"98,983,688","92,228,115","93,674,903"
[지배기업 소유주지분],"362,315,069","353,233,775","345,186,142"
ㆍ자본금,"897,514","897,514","897,514"
ㆍ주식발행초과금,"4,403,893","4,403,893","4,403,893"
ㆍ이익잉여금,"350,847,854","346,652,238","337,946,407"
ㆍ기타,"6,165,808","1,280,130","1,938,328"
[비지배지분],"9,601,055","10,444,090","9,563,462"
자본총계,"371,916,124","363,677,865","354,749,604"
,2024년 1월~3월,2023년 1월~12월,2022년 1월~12월
매출액,"71,915,601","258,935,494","302,231,360"
영업이익,"6,606,009","6,566,976","43,376,630"
연결총당기순이익,"6,754,708","15,487,100","55,654,077"
ㆍ지배기업 소유주지분,"6,621,030","14,473,401","54,730,018"
ㆍ비지배지분,"133,678","1,013,699","924,059"
기본주당순이익(단위 : 원),975,"2,131","8,057"
희석주당순이익(단위 : 원),975,"2,131","8,057"
연결에 포함된 회사수,228개,233개,233개
