종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"060310","3S","2330","15","0.65","30","77.67",,,"947","2.46","0","0.00"
"095570","AJ네트웍스","4420","15","0.34","367","12.04","855","5.17","9326","0.47","270","6.11"
"006840","AK홀딩스","13890","-40","-0.29","2635","5.27",,,"44339","0.31","200","1.44"
"054620","APS","6610","-80","-1.20","667","9.91",,,"11683","0.57","0","0.00"
"265520","AP시스템","21800","50","0.23","3997","5.45","4684","4.65","21396","1.02","270","1.24"
"211270","AP위성","14550","450","3.19","739","19.69","1137","12.80","6680","2.18","70","0.48"
"109960","AP헬스케어","790","30","3.95","80","9.88",,,"2518","0.31","0","0.00"
"139050","BF랩스","2805","0","0.00","11","255.00",,,"5250","0.53","0","0.00"
"027410","BGF","3545","-20","-0.56","813","4.36","655","5.41","17286","0.21","120","3.39"
"282330","BGF리테일","102400","800","0.79","11337","9.03","12001","8.53","62197","1.65","4100","4.00"
"126600","BGF에코머티리얼즈","4015","-10","-0.25",,,,,"6471","0.62","70","1.74"
"138930","BNK금융지주","8600","-20","-0.23","1905","4.51","2578","3.34","31746","0.27","510","5.93"
"001460","BYC","33150","-200","-0.60","2836","11.69",,,"64090","0.52","300","0.90"
"001465","BYC우","15090","-30","-0.20",,,,,,,"305","2.02"
"013720","CBI","1205","-12","-0.99",,,,,"1093","1.10","0","0.00"
"083790","CG인바이츠","2570","0","0.00",,,,,"1587","1.62","0","0.00"
"001040","CJ","126000","-1500","-1.18","5806","21.70","10593","11.89","164443","0.77","3000","2.38"
"079160","CJ CGV","5600","-60","-1.06",,,,,"3441","1.63","0","0.00"
"035760","CJ ENM","76600","800","1.06",,,"2705","28.32","156237","0.49","0","0.00"
"311690","CJ 바이오사이언스","12870","70","0.55",,,,,"7846","1.64","0","0.00"
"00104K","CJ4우(전환)","93800","-1600","-1.68",,,,,,,"3050","3.25"
"000120","CJ대한통운","95800","2700","2.90","10357","9.25","12310","7.78","180690","0.53","500","0.52"
"011150","CJ씨푸드","4355","45","1.04","123","35.41",,,"2160","2.02","0","0.00"
"011155","CJ씨푸드1우","21150","100","0.48",,,,,,,"0","0.00"
"001045","CJ우","59400","-400","-0.67",,,,,,,"3050","5.13"
"097950","CJ제일제당","386500","1500","0.39","24081","16.05","37190","10.39","446325","0.87","5500","1.42"
"097955","CJ제일제당 우","151300","-1500","-0.98",,,,,,,"5550","3.67"
"051500","CJ프레시웨이","19640","30","0.15","4489","4.38","5258","3.74","24396","0.81","450","2.29"
"058820","CMG제약","2360","15","0.64","46","51.30",,,"1370","1.72","0","0.00"
"023460","CNH","2410","-15","-0.62",,,,,"2748","0.88","0","0.00"
"056730","CNT85","866","-2","-0.23","193","4.49",,,"1042","0.83","0","0.00"
"000480","CR홀딩스","5940","30","0.51","14","424.29",,,"14318","0.41","410","6.90"
"065770","CS","1142","-8","-0.70",,,,,"902","1.27","0","0.00"
"083660","CSA 코스믹","997","-8","-0.80",,,,,"362","2.75","0","0.00"
"000590","CS홀딩스","69200","100","0.14","15091","4.59",,,"264028","0.26","500","0.72"
"012030","DB","1175","2","0.17","106","11.08",,,"2067","0.57","0","0.00"
"456440","DB금융스팩11호","2340","-5","-0.21",,,,,,,"0","0.00"
"477760","DB금융스팩12호","2125","-10","-0.47",,,,,,,"0","0.00"
"016610","DB금융투자","4425","-35","-0.78","151","29.30",,,"24561","0.18","200","4.52"
"005830","DB손해보험","106100","-200","-0.19","28955","3.66","26328","4.03","170486","0.62","5300","5.00"
"000990","DB하이텍","52900","200","0.38","6241","8.48","5664","9.34","41655","1.27","580","1.10"
"139130","DGB금융지주","8050","-10","-0.12","2180","3.69","2607","3.09","35751","0.23","550","6.83"
"060900","DGP","1045","-43","-3.95",,,,,"2149","0.49","0","0.00"
"290120","DH오토리드","2830","-5","-0.18",,,,,"5438","0.52","0","0.00"
"025440","DH오토웨어","388","4","1.04","5","77.60",,,"452","0.86","0","0.00"
"001530","DI동일","28900","800","2.85","164","176.22","866","33.37","30136","0.96","250","0.87"
"000210","DL","54600","900","1.68",,,"12180","4.48","169901","0.32","1000","1.83"
"000215","DL우","26800","-450","-1.65",,,,,,,"1050","3.92"
"375500","DL이앤씨","32750","100","0.31","4679","7.00","7262","4.51","118750","0.28","500","1.53"
"37550L","DL이앤씨2우(전환)","22500","-50","-0.22",,,,,,,"500","2.22"
"37550K","DL이앤씨우","16850","-190","-1.12",,,,,,,"550","3.26"
"068790","DMS","5790","60","1.05","829","6.98",,,"13160","0.44","90","1.55"
"007340","DN오토모티브","82700","600","0.73","31884","2.59",,,"132197","0.63","3000","3.63"
"004840","DRB동일","5100","-70","-1.35","798","6.39",,,"19664","0.26","100","1.96"
"241520","DSC인베스트먼트","3190","-60","-1.85","543","5.87",,,"3895","0.82","40","1.25"
"155660","DSR","4320","-10","-0.23","1093","3.95",,,"13467","0.32","60","1.39"
"069730","DSR제강","4255","-90","-2.07","899","4.73",,,"13555","0.31","60","1.41"
"017860","DS단석","92400","-2400","-2.53","7966","11.60",,,"47319","1.95","0","0.00"
"180400","DXVX","3465","-70","-1.98",,,,,"608","5.70","0","0.00"
"017940","E1","74600","-100","-0.13","36872","2.02","22655","3.29","280943","0.27","5150","6.90"
"245620","EDGC","415","0","0.00",,,,,"324","1.28","0","0.00"
"037370","EG","7140","10","0.14",,,,,"6927","1.03","0","0.00"
"050120","ES큐브","1999","-6","-0.30",,,,,"6161","0.32","0","0.00"
"383220","F&F","63600","900","1.44","11144","5.71","11117","5.72","33834","1.88","1700","2.67"
"007700","F&F홀딩스","14600","-10","-0.07","3130","4.66",,,"54668","0.27","400","2.74"
"214270","FSN","2105","15","0.72",,,,,"2272","0.93","0","0.00"
"130500","GH신소재","3075","25","0.82","148","20.78",,,"5394","0.57","0","0.00"
"114090","GKL","11920","-80","-0.67","709","16.81","1136","10.50","6658","1.79","353","2.96"
"078930","GS","46400","-950","-2.01","13737","3.38","13787","3.37","142065","0.33","2500","5.39"
"083450","GST","17330","-580","-3.24","1985","8.73",,,"12539","1.38","500","2.89"
"006360","GS건설","17800","70","0.39",,,"3263","5.46","50825","0.35","0","0.00"
"001250","GS글로벌","3635","80","2.25","337","10.79",,,"5113","0.71","25","0.69"
"007070","GS리테일","21000","0","0.00","173","121.39","2504","8.39","39235","0.54","500","2.38"
"078935","GS우","38500","-400","-1.03",,,,,,,"2550","6.62"
"297890","HB솔루션","4790","-165","-3.33","1137","4.21",,,"3319","1.44","30","0.63"
"440290","HB인베스트먼트","2270","-15","-0.66","444","5.11",,,"2922","0.78","0","0.00"
"078150","HB테크놀러지","3065","-130","-4.07","983","3.12",,,"3503","0.87","20","0.65"
"012630","HDC","8960","170","1.93","2147","4.17",,,"49804","0.18","300","3.35"
"039570","HDC랩스","8330","-50","-0.60","573","14.54",,,"11253","0.74","450","5.40"
"089470","HDC현대EP","4070","0","0.00","759","5.36",,,"11685","0.35","140","3.44"
"294870","HDC현대산업개발","20100","0","0.00","2678","7.51","3990","5.04","46876","0.43","700","3.48"
"009540","HD한국조선해양","189100","-600","-0.32","3135","60.32","17813","10.62","140052","1.35","0","0.00"
"267250","HD현대","80600","100","0.12","3743","21.53","11349","7.10","103689","0.78","3700","4.59"
"267270","HD현대건설기계","64200","-3100","-4.61","7659","8.38","8815","7.28","86604","0.74","700","1.09"
"443060","HD현대마린솔루션","133000","300","0.23","3778","35.20","5107","26.04","5999","22.17","2500","1.88"
"010620","HD현대미포","103800","-400","-0.38",,,"3158","32.87","49396","2.10","0","0.00"
"322000","HD현대에너지솔루션","25200","750","3.07",,,,,"33175","0.76","0","0.00"
"042670","HD현대인프라코어","8240","-590","-6.68","1159","7.11","1235","6.67","9097","0.91","110","1.33"
"267260","HD현대일렉트릭","362500","16500","4.77","7200","50.35","12699","28.54","29121","12.45","1000","0.28"
"329180","HD현대중공업","175800","900","0.51","278","632.37","6133","28.66","58660","3.00","0","0.00"
"097230","HJ중공업","3500","-40","-1.13",,,,,"4093","0.86","0","0.00"
"195940","HK이노엔","41400","750","1.85","1666","24.85","2820","14.68","42487","0.97","350","0.85"
"014790","HL D&I","2450","-125","-4.85","370","6.62","990","2.48","9721","0.25","0","0.00"
"028300","HLB","81300","-1700","-2.05",,,,,"4034","20.15","0","0.00"
"003580","HLB글로벌","5640","-190","-3.26",,,,,"1166","4.84","0","0.00"
"278650","HLB바이오스텝","2575","-30","-1.15",,,,,"1300","1.98","0","0.00"
"067630","HLB생명과학","10890","-110","-1.00",,,,,"2209","4.93","0","0.00"
"024850","HLB이노베이션","3040","-5","-0.16",,,,,"858","3.54","0","0.00"
"047920","HLB제약","26200","-400","-1.50",,,,,"2908","9.01","0","0.00"
"115450","HLB테라퓨틱스","9050","450","5.23",,,,,"2104","4.30","0","0.00"
"046210","HLB파나진","3690","-45","-1.20",,,,,"1550","2.38","0","0.00"
"204320","HL만도","40250","-1650","-3.94","2890","13.93","5956","6.76","47505","0.85","600","1.49"
"060980","HL홀딩스","33450","100","0.30","5237","6.39","9325","3.59","105173","0.32","2000","5.98"
"011200","HMM","16860","-40","-0.24","1667","10.11","2644","6.38","31115","0.54","700","4.15"
"403870","HPSP","33050","-1050","-3.08","990","33.38","1342","24.63","3350","9.87","150","0.45"
"036640","HRS","5340","-10","-0.19","758","7.04",,,"7165","0.75","200","3.75"
"035000","HS애드","6280","-30","-0.48","1000","6.28",,,"11276","0.56","450","7.17"
"002460","HS화성","9120","-30","-0.33","2302","3.96","1790","5.10","40704","0.22","500","5.48"
"439730","IBKS제20호스팩","2420","0","0.00",,,,,,,"0","0.00"
"442770","IBKS제21호스팩","2370","0","0.00",,,,,,,"0","0.00"
"448760","IBKS제22호스팩","2285","-10","-0.44",,,,,,,"0","0.00"
"467930","IBKS제23호스팩","2205","-20","-0.90",,,,,,,"0","0.00"
"469480","IBKS제24호스팩","2220","-15","-0.67",,,,,,,"0","0.00"
"003560","IHQ","10760","0","0.00","6784","1.59",,,"6389","1.68","0","0.00"
"095340","ISC","52900","200","0.38","749","70.63","3372","15.69","23130","2.29","200","0.38"
"099520","ITX-AI","1284","0","0.00",,,,,"566","2.27","0","0.00"
