종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","2950","70","2.43","2885","3050","2815","1753008","5156030865","143183093900","48536642"
"095570","AJ네트웍스","KOSPI",,"4865","-255","-4.98","5140","5140","4860","200607","993838430","220154672535","45252759"
"006840","AK홀딩스","KOSPI",,"15100","-460","-2.96","15600","15600","14810","21354","321830250","200038171100","13247561"
"054620","APS","KOSDAQ","중견기업부","7900","90","1.15","7790","7950","7760","53062","417538180","161114345900","20394221"
"265520","AP시스템","KOSDAQ","우량기업부","22300","650","3.00","21800","22300","21700","170269","3757740700","340775688300","15281421"
"211270","AP위성","KOSDAQ","벤처기업부","18080","810","4.69","17400","18300","17230","1766617","31674720000","272688056320","15082304"
"139050","BF랩스","KOSDAQ","벤처기업부","4490","-950","-17.46","5350","5460","4340","388938","1907526105","38814033990","8644551"
"027410","BGF","KOSPI",,"3740","-55","-1.45","3795","3815","3730","101167","380557375","357980798340","95716791"
"282330","BGF리테일","KOSPI",,"117700","700","0.60","117600","118700","117000","60274","7080399100","2034315736200","17283906"
"126600","BGF에코머티리얼즈","KOSDAQ","우량기업부","4190","-105","-2.44","4255","4280","4150","119504","503025185","226399422250","54033275"
"138930","BNK금융지주","KOSPI",,"7770","-210","-2.63","8020","8020","7770","874160","6842692780","2502627163260","322088438"
"001460","BYC","KOSPI",,"492000","4500","0.92","493000","494500","489000","82","40312000","307310580000","624615"
"001465","BYC우","KOSPI",,"193700","4200","2.22","189000","194000","189000","1338","258359100","41720074500","215385"
"013720","CBI","KOSDAQ","중견기업부","1607","-44","-2.67","1651","1666","1584","339007","545738122","68834540116","42834188"
"083790","CG인바이츠","KOSDAQ","벤처기업부","3750","125","3.45","3615","3835","3610","247936","923573305","288353182500","76894182"
"001040","CJ","KOSPI",,"129800","7600","6.22","125000","132800","123900","631826","81298529200","3787174340400","29176998"
"079160","CJ CGV","KOSPI",,"5540","-20","-0.36","5560","5600","5530","332244","1844084860","678273235680","122431992"
"035760","CJ ENM","KOSDAQ GLOBAL","우량기업부","83000","4700","6.00","79100","83500","78700","200133","16356813900","1820119782000","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","15960","60","0.38","15900","16310","15600","22215","355659460","145435531920","9112502"
"00104K","CJ4우(전환)","KOSPI",,"91000","2000","2.25","89400","92100","89100","40438","3683276200","384612592000","4226512"
"000120","CJ대한통운","KOSPI",,"114900","-4800","-4.01","119500","119900","114600","109719","12756461100","2621138325600","22812344"
"011150","CJ씨푸드","KOSPI",,"2700","-5","-0.18","2705","2725","2700","73081","197633780","97013087100","35930773"
