종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
004960,한신공영,6820,190,2.87,2757.0,2.47,,,66043.0,0.1,100,1.47
000950,전방,20000,-300,-1.48,,,,,166586.0,0.12,0,0.0
003240,태광산업,620000,6000,0.98,,,,,4689721.0,0.13,1750,0.28
139480,이마트,58300,1300,2.28,,,3536.0,16.49,427553.0,0.14,2000,3.43
000670,영풍,315500,3500,1.12,,,,,2216785.0,0.14,10000,3.17
024830,세원물산,6600,-100,-1.49,1525.0,4.33,,,42723.0,0.15,100,1.52
104480,티케이케미칼,1540,4,0.26,,,,,10445.0,0.15,0,0.0
021820,세원정공,7720,-480,-5.85,,,,,51131.0,0.15,100,1.3
003830,대한화섬,101900,0,0.0,9283.0,10.98,,,638399.0,0.16,750,0.74
040610,SG&G,1633,19,1.18,592.0,2.76,,,10247.0,0.16,0,0.0
071840,롯데하이마트,8830,120,1.38,,,247.0,35.74,54020.0,0.16,300,3.4
024800,유성티엔에스,2040,25,1.24,1703.0,1.2,,,12622.0,0.16,0,0.0
001230,동국홀딩스,8340,200,2.46,4500.0,1.85,,,52450.0,0.16,600,7.19
013580,계룡건설,15100,660,4.57,5334.0,2.83,6191.0,2.44,90108.0,0.17,400,2.65
065560,녹원씨엔아이,400,47,13.31,,,,,2418.0,0.17,0,0.0
088350,한화생명,2995,40,1.35,954.0,3.14,1181.0,2.54,17352.0,0.17,150,5.01
002820,SUN&L,3280,0,0.0,,,,,19587.0,0.17,0,0.0
001070,대한방직,6030,-20,-0.33,,,,,36246.0,0.17,0,0.0
174880,장원테크,2650,0,0.0,,,,,15219.0,0.17,0,0.0
143210,핸즈코퍼레이션,2200,-90,-3.93,,,,,12221.0,0.18,0,0.0
016610,DB금융투자,4370,50,1.16,151.0,28.94,,,24561.0,0.18,200,4.58
023530,롯데쇼핑,61200,1200,2.0,5794.0,10.56,8592.0,7.12,335809.0,0.18,3800,6.21
067830,세이브존I&C,2235,10,0.45,361.0,6.19,,,12561.0,0.18,30,1.34
001810,무림SP,1627,-33,-1.99,,,,,8956.0,0.18,10,0.61
058650,세아홀딩스,103500,-200,-0.19,21043.0,4.92,,,551507.0,0.19,4000,3.86
012160,영흥,524,-6,-1.13,,,,,2800.0,0.19,0,0.0
005960,동부건설,4870,65,1.35,,,,,25181.0,0.19,300,6.16
000850,화천기공,30000,250,0.84,4801.0,6.25,,,157067.0,0.19,1300,4.33
004020,현대제철,27200,500,1.87,3506.0,7.76,3042.0,8.94,145198.0,0.19,1000,3.68
000180,성창기업지주,1673,2,0.12,,,,,9003.0,0.19,0,0.0
012630,HDC,9650,780,8.79,2147.0,4.49,,,49804.0,0.19,300,3.11
002320,한진,19010,60,0.32,1805.0,10.53,2425.0,7.84,97491.0,0.19,600,3.16
017390,서울가스,55500,200,0.36,5188.0,10.7,,,273495.0,0.2,2250,4.05
004150,한솔홀딩스,2680,20,0.75,177.0,15.14,374.0,7.17,13520.0,0.2,100,3.73
001520,동양,829,11,1.34,95.0,8.73,,,4135.0,0.2,40,4.83
089140,넥스턴바이오,2970,-50,-1.66,1087.0,2.73,,,14687.0,0.2,0,0.0
106240,파인테크닉스,1168,-13,-1.1,,,,,5748.0,0.2,0,0.0
002020,코오롱,15730,20,0.13,621.0,25.33,,,78295.0,0.2,550,3.5
004690,삼천리,89500,500,0.56,35116.0,2.55,18290.0,4.89,443054.0,0.2,3000,3.35
003200,일신방직,8200,40,0.49,360.0,22.78,,,40268.0,0.2,100,1.22
002690,동일제강,1610,10,0.63,,,,,7894.0,0.2,0,0.0
021320,KCC건설,4505,55,1.24,519.0,8.68,1055.0,4.27,22370.0,0.2,130,2.89
000540,흥국화재,4095,105,2.63,4664.0,0.88,,,20881.0,0.2,0,0.0
009200,무림페이퍼,2120,10,0.47,83.0,25.54,,,9962.0,0.21,75,3.54
002920,유성기업,2455,0,0.0,381.0,6.44,,,11627.0,0.21,60,2.44
003380,하림지주,5970,180,3.11,384.0,15.55,900.0,6.63,28683.0,0.21,120,2.01
363280,티와이홀딩스,3840,10,0.26,,,,,18433.0,0.21,0,0.0
004440,삼일씨엔에스,4425,130,3.03,160.0,27.66,,,21133.0,0.21,0,0.0
011370,서한,849,0,0.0,85.0,9.99,,,3976.0,0.21,30,3.53
005720,넥센,4625,-10,-0.22,778.0,5.94,,,22055.0,0.21,125,2.7
027410,BGF,3545,50,1.43,813.0,4.36,655.0,5.41,17286.0,0.21,120,3.39
005800,신영와코루,8990,60,0.67,557.0,16.14,,,40631.0,0.22,150,1.67
007680,대원,4580,0,0.0,,,,,20879.0,0.22,0,0.0
004890,동일산업,42500,-150,-0.35,,,,,189318.0,0.22,1000,2.35
012620,원일특강,7800,-20,-0.26,1818.0,4.29,,,35162.0,0.22,220,2.82
037350,성도이엔지,4105,-35,-0.85,281.0,14.61,,,18406.0,0.22,100,2.44
121440,골프존뉴딘홀딩스,3735,10,0.27,891.0,4.19,,,16929.0,0.22,167,4.47
016250,SGC E&C,15070,260,1.76,,,4184.0,3.6,69166.0,0.22,750,4.98
034830,한국토지신탁,1038,23,2.27,,,,,4631.0,0.22,70,6.74
088790,진도,1938,0,0.0,353.0,5.49,,,8626.0,0.22,50,2.58
139130,DGB금융지주,8110,160,2.01,2180.0,3.72,2607.0,3.11,35751.0,0.23,550,6.78
001940,KISCO홀딩스,19040,190,1.01,6602.0,2.88,,,84091.0,0.23,900,4.73
460850,동국씨엠,7280,480,7.06,339.0,21.47,,,32217.0,0.23,100,1.37
030530,원익홀딩스,3185,15,0.47,,,,,13592.0,0.23,0,0.0
127710,아시아경제,1098,-2,-0.18,,,,,4839.0,0.23,0,0.0
001130,대한제분,140200,200,0.14,60350.0,2.32,,,603520.0,0.23,2500,1.78
128820,대성산업,3630,80,2.25,,,,,15906.0,0.23,0,0.0
069960,현대백화점,46900,500,1.08,,,8704.0,5.39,204415.0,0.23,1300,2.77
002460,HS화성,9250,110,1.2,2302.0,4.02,1790.0,5.17,40704.0,0.23,500,5.41
