종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"060310","3S","2355","40","1.73","30","78.50",,,"947","2.49","0","0.00"
"095570","AJ네트웍스","4440","35","0.79","367","12.10","855","5.19","9326","0.48","270","6.08"
"006840","AK홀딩스","13930","0","0.00","2635","5.29",,,"44339","0.31","200","1.44"
"054620","APS","6670","-20","-0.30","667","10.00",,,"11683","0.57","0","0.00"
"265520","AP시스템","21600","-150","-0.69","3997","5.40","4684","4.61","21396","1.01","270","1.25"
"211270","AP위성","14400","300","2.13","739","19.49","1137","12.66","6680","2.16","70","0.49"
"109960","AP헬스케어","793","33","4.34","80","9.91",,,"2518","0.31","0","0.00"
"139050","BF랩스","2805","0","0.00","11","255.00",,,"5250","0.53","0","0.00"
"027410","BGF","3555","-10","-0.28","813","4.37","655","5.43","17286","0.21","120","3.38"
"282330","BGF리테일","102700","1100","1.08","11337","9.06","12001","8.56","62197","1.65","4100","3.99"
"126600","BGF에코머티리얼즈","4020","-5","-0.12",,,,,"6471","0.62","70","1.74"
"138930","BNK금융지주","8570","-50","-0.58","1905","4.50","2578","3.32","31746","0.27","510","5.95"
"001460","BYC","33100","-250","-0.75","2836","11.67",,,"64090","0.52","300","0.91"
"001465","BYC우","15090","-30","-0.20",,,,,,,"305","2.02"
"013720","CBI","1199","-18","-1.48",,,,,"1093","1.10","0","0.00"
"083790","CG인바이츠","2570","0","0.00",,,,,"1587","1.62","0","0.00"
"001040","CJ","126300","-1200","-0.94","5806","21.75","10593","11.92","164443","0.77","3000","2.38"
"079160","CJ CGV","5600","-60","-1.06",,,,,"3441","1.63","0","0.00"
"035760","CJ ENM","76800","1000","1.32",,,"2705","28.39","156237","0.49","0","0.00"
"311690","CJ 바이오사이언스","12710","-90","-0.70",,,,,"7846","1.62","0","0.00"
"00104K","CJ4우(전환)","94200","-1200","-1.26",,,,,,,"3050","3.24"
"000120","CJ대한통운","96000","2900","3.11","10357","9.27","12310","7.80","180690","0.53","500","0.52"
"011150","CJ씨푸드","4235","-75","-1.74","123","34.43",,,"2160","1.96","0","0.00"
"011155","CJ씨푸드1우","21250","200","0.95",,,,,,,"0","0.00"
"001045","CJ우","59900","100","0.17",,,,,,,"3050","5.09"
"097950","CJ제일제당","385000","0","0.00","24081","15.99","37190","10.35","446325","0.86","5500","1.43"
"097955","CJ제일제당 우","151700","-1100","-0.72",,,,,,,"5550","3.66"
"051500","CJ프레시웨이","19660","50","0.25","4489","4.38","5258","3.74","24396","0.81","450","2.29"
"058820","CMG제약","2350","5","0.21","46","51.09",,,"1370","1.72","0","0.00"
"023460","CNH","2405","-20","-0.82",,,,,"2748","0.88","0","0.00"
"056730","CNT85","869","1","0.12","193","4.50",,,"1042","0.83","0","0.00"
"000480","CR홀딩스","5950","40","0.68","14","425.00",,,"14318","0.42","410","6.89"
"065770","CS","1140","-10","-0.87",,,,,"902","1.26","0","0.00"
"083660","CSA 코스믹","997","-8","-0.80",,,,,"362","2.75","0","0.00"
"000590","CS홀딩스","69200","100","0.14","15091","4.59",,,"264028","0.26","500","0.72"
"012030","DB","1170","-3","-0.26","106","11.04",,,"2067","0.57","0","0.00"
"456440","DB금융스팩11호","2340","-5","-0.21",,,,,,,"0","0.00"
"477760","DB금융스팩12호","2125","-10","-0.47",,,,,,,"0","0.00"
"016610","DB금융투자","4435","-25","-0.56","151","29.37",,,"24561","0.18","200","4.51"
"005830","DB손해보험","106300","0","0.00","28955","3.67","26328","4.04","170486","0.62","5300","4.99"
