종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","2610","55","2.15","2540","2760","2530","1392644","3703689520","126680635620","48536642"
"095570","AJ네트웍스","KOSPI",,"4345","0","0.00","4330","4370","4250","31420","135795080","203442871775","46822295"
"006840","AK홀딩스","KOSPI",,"19000","40","0.21","18770","19180","18750","7035","133607650","251703659000","13247561"
"054620","APS","KOSDAQ","중견기업부","8690","600","7.42","8090","8700","8050","61198","519211660","177225780490","20394221"
"265520","AP시스템","KOSDAQ","우량기업부","19270","70","0.36","19040","19270","19040","33352","638416750","294472982670","15281421"
"211270","AP위성","KOSDAQ","벤처기업부","12060","350","2.99","11700","12070","11680","80864","969345220","181892586240","15082304"
"027410","BGF","KOSPI",,"3645","45","1.25","3560","3710","3560","67106","245261160","348887703195","95716791"
"282330","BGF리테일","KOSPI",,"165300","-6300","-3.67","172100","172100","164200","41483","6892954400","2857029661800","17283906"
"126600","BGF에코머티리얼즈","KOSDAQ","우량기업부","5200","170","3.38","5050","5230","5000","77888","400050150","212518872800","40869014"
"138930","BNK금융지주","KOSPI",,"6730","-40","-0.59","6770","6780","6690","923106","6204134850","2193544205580","325935246"
"001460","BYC","KOSPI",,"427500","0","0.00","421000","427500","421000","13","5532500","267022912500","624615"
"001465","BYC우","KOSPI",,"142300","1100","0.78","143700","143700","138200","38","5413400","30649285500","215385"
"013720","CBI","KOSDAQ","중견기업부","1444","-39","-2.63","1461","1498","1410","252522","365772219","43920932152","30416158"
"083790","CG인바이츠","KOSDAQ","기술성장기업부","3760","75","2.04","3635","3770","3635","79533","296225500","289122124320","76894182"
"001040","CJ","KOSPI",,"70000","1500","2.19","68500","70300","68500","142449","9912309200","2042389860000","29176998"
"079160","CJ CGV","KOSPI",,"8820","-20","-0.23","8840","8980","8710","159731","1397889830","420974736840","47729562"
"035760","CJ ENM","KOSDAQ GLOBAL","우량기업부","64700","-2600","-3.86","66800","67000","64600","117831","7692221700","1418816263800","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","20300","2670","15.14","17640","21450","17630","170814","3415366510","119337041600","5878672"
"00104K","CJ4우(전환)","KOSPI",,"58700","700","1.21","58000","58700","57800","5591","326014100","248096254400","4226512"
"000120","CJ대한통운","KOSPI",,"78300","600","0.77","77500","79600","77000","99930","7822932900","1786206535200","22812344"
"011150","CJ씨푸드","KOSPI",,"3095","45","1.48","3050","3105","3035","54910","168236215","111205742435","35930773"
"011155","CJ씨푸드1우","KOSPI",,"20600","50","0.24","20550","20600","20100","84","1694050","4120000000","200000"
"001045","CJ우","KOSPI",,"43800","-250","-0.57","44300","44600","43700","6191","272766600","98997767400","2260223"
"097950","CJ제일제당","KOSPI",,"305000","-5500","-1.77","310000","310000","303000","42995","13134510000","4591526730000","15054186"
"097955","CJ제일제당 우","KOSPI",,"136700","100","0.07","136600","138000","134500","1026","139975100","181460091100","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","26250","0","0.00","26350","26650","26050","21539","568505500","311629132500","11871586"
"058820","CMG제약","KOSDAQ","중견기업부","2550","45","1.80","2505","2605","2505","1471177","3763080950","354175222200","138892244"
"023460","CNH","KOSDAQ","중견기업부","2070","20","0.98","2040","2075","2035","6935","14350365","77004000000","37200000"
"056730","CNT85","KOSDAQ","중견기업부","1382","68","5.18","1324","1383","1310","151319","203303382","60171528192","43539456"
"000480","CR홀딩스","KOSPI",,"10280","-290","-2.74","10460","10730","10250","519128","5419809330","289328872960","28144832"
"065770","CS","KOSDAQ","벤처기업부","1415","-9","-0.63","1423","1423","1380","28250","39638794","27466748950","19411130"
"083660","CSA 코스믹","KOSDAQ","관리종목(소속부없음)","1273","-28","-2.15","1354","1358","1260","87145","112337542","77967661413","61247181"
"000590","CS홀딩스","KOSPI",,"58700","500","0.86","58400","58700","58200","357","20873300","67768093400","1154482"
"012030","DB","KOSPI",,"1952","10","0.51","1920","1967","1919","878187","1711473390","392691517216","201173933"
"404950","DB금융스팩10호","KOSDAQ","SPAC(소속부없음)","2120","0","0.00","0","0","0","0","0","12380800000","5840000"
"456440","DB금융스팩11호","KOSDAQ","SPAC(소속부없음)","2085","0","0.00","2085","2085","2065","44427","92131915","11081775000","5315000"
"367360","DB금융스팩9호","KOSDAQ","SPAC(소속부없음)","2125","0","0.00","0","0","0","0","0","10285000000","4840000"
"016610","DB금융투자","KOSPI",,"4095","15","0.37","4060","4110","4060","20441","83513120","173817962955","42446389"
"005830","DB손해보험","KOSPI",,"79400","-500","-0.63","80200","80300","78100","173290","13776206550","5621520000000","70800000"
"000990","DB하이텍","KOSPI",,"55500","600","1.09","54900","56200","54900","252915","14063011900","2464121634000","44398588"
"139130","DGB금융지주","KOSPI",,"7410","-120","-1.59","7520","7520","7400","276168","2055780300","1253370622530","169145833"
"060900","DGP","KOSDAQ","중견기업부","4000","5","0.13","3920","4000","3765","309027","1196749635","96248228000","24062057"
"025440","DH오토웨어","KOSDAQ","중견기업부","2600","0","0.00","2595","2680","2570","17457","45548995","74100000000","28500000"
"001530","DI동일","KOSPI",,"21550","1300","6.42","20300","21550","20150","99375","2092348800","561176589350","26040677"
"000210","DL","KOSPI",,"40950","-650","-1.56","41400","41500","40550","81061","3315842350","858143449800","20955884"
"001880","DL건설","KOSPI",,"11840","-150","-1.25","11950","11960","11820","10363","122868760","261110882560","22053284"
"000215","DL우","KOSPI",,"21950","400","1.86","21700","22000","21550","3845","83480750","37010224250","1686115"
"375500","DL이앤씨","KOSPI",,"30800","100","0.33","30800","31150","30500","161221","4966659150","1191763588400","38693623"
"37550L","DL이앤씨2우(전환)","KOSPI",,"21800","100","0.46","21900","21900","21250","893","19315800","46040531800","2111951"
"37550K","DL이앤씨우","KOSPI",,"19160","10","0.05","19430","19430","19070","848","16216810","40502036600","2113885"
"068790","DMS","KOSDAQ","우량기업부","5370","40","0.75","5370","5400","5280","20162","107844830","131957337570","24573061"
"007340","DN오토모티브","KOSPI",,"89600","500","0.56","89500","90500","89000","9643","865291600","895462848000","9994005"
"004840","DRB동일","KOSPI",,"5120","-100","-1.92","5130","5230","5080","15070","77473330","102041600000","19930000"
"241520","DSC인베스트먼트","KOSDAQ","중견기업부","3225","-15","-0.46","3205","3245","3200","56700","182479595","89691774675","27811403"
"065150","DSEN","KOSDAQ","중견기업부","311","1","0.32","307","314","306","71784","22155556","38962827955","125282405"
"155660","DSR","KOSPI",,"4565","10","0.22","4555","4570","4515","14431","65556950","73040000000","16000000"
"069730","DSR제강","KOSPI",,"4525","40","0.89","4555","4555","4450","14419","65049255","65160000000","14400000"
"180400","DXVX","KOSDAQ","중견기업부","7410","550","8.02","6830","7450","6830","400378","2896668780","223925991120","30219432"
"017940","E1","KOSPI",,"57200","1200","2.14","56000","57500","55800","29684","1690749900","392392000000","6860000"
"245620","EDGC","KOSDAQ","기술성장기업부","1694","72","4.44","1622","1701","1607","1322900","2214438407","146810147484","86664786"
"037370","EG","KOSDAQ","중견기업부","15870","-420","-2.58","16080","16160","15640","176819","2800874620","136878305640","8624972"
"278990","EMB","KONEX","일반기업부","12000","0","0.00","11800","12000","11750","1465","17335000","43538664000","3628222"
"365550","ESR켄달스퀘어리츠","KOSPI",,"3885","-60","-1.52","3905","3925","3860","219551","852429640","827850765000","213089000"
"050120","ES큐브","KOSDAQ","벤처기업부","3695","290","8.52","3405","3945","3405","120420","442752730","50119297770","13564086"
"383220","F&F","KOSPI",,"105300","-600","-0.57","106100","106600","104200","98009","10286560200","4033734997500","38307075"
"007700","F&F홀딩스","KOSPI",,"17190","-330","-1.88","17450","17510","17130","32576","561207280","672375968730","39114367"
"214270","FSN","KOSDAQ","중견기업부","2920","110","3.91","2820","2925","2815","96112","275753170","97091351960","33250463"
"130500","GH신소재","KOSDAQ","중견기업부","3200","45","1.43","3190","3220","3100","24581","77862135","46544166400","14545052"
"114090","GKL","KOSPI",,"13200","-950","-6.71","14050","14060","13110","1057788","14065186060","816494844000","61855670"
"900290","GRT","KOSDAQ","외국기업(소속부없음)","3090","-245","-7.35","3335","3835","3010","1589755","5481036435","208188750000","67375000"
"078930","GS","KOSPI",,"38800","-200","-0.51","39400","39400","38650","148123","5773747050","3605116666400","92915378"
"083450","GST","KOSDAQ","우량기업부","27050","150","0.56","26900","27150","26450","43262","1160494100","252045002250","9317745"
"006360","GS건설","KOSPI",,"14020","30","0.21","14020","14210","13900","592627","8333215670","1199852489800","85581490"
"001250","GS글로벌","KOSPI",,"2610","45","1.75","2565","2625","2555","419931","1091930025","215413124040","82533764"
"007070","GS리테일","KOSPI",,"23950","1200","5.27","23350","24400","22600","1266503","30243080600","2507994231900","104717922"
"078935","GS우","KOSPI",,"34250","100","0.29","34150","34300","34150","2399","82103950","61130290500","1784826"
"297890","HB솔루션","KOSDAQ","우량기업부","5080","60","1.20","5080","5230","5050","2534086","12966575260","331881256480","65330956"
"078150","HB테크놀러지","KOSDAQ","우량기업부","2560","5","0.20","2555","2595","2530","851497","2176543020","219784117760","85853171"
"012630","HDC","KOSPI",,"5910","50","0.85","5810","5910","5810","26634","156129710","353073571110","59741721"
"039570","HDC랩스","KOSPI",,"7840","160","2.08","7670","8000","7610","4766","37133140","203507591840","25957601"
"089470","HDC현대EP","KOSPI",,"4140","0","0.00","4120","4140","4070","24127","99333575","132066000000","31900000"
"294870","HDC현대산업개발","KOSPI",,"10170","140","1.40","10050","10170","10000","118444","1196740700","670277546100","65907330"
"009540","HD한국조선해양","KOSPI",,"122300","-600","-0.49","123300","123500","121300","161165","19677990800","8655552086800","70773116"
"267250","HD현대","KOSPI",,"62500","-1300","-2.04","63800","63800","61900","123682","7744731800","4937067812500","78993085"
"267270","HD현대건설기계","KOSPI",,"77000","-300","-0.39","77100","77300","75900","81306","6222310200","1516961061000","19700793"
"322000","HD현대에너지솔루션","KOSPI",,"32700","600","1.87","32100","32700","32000","25302","815160250","366240000000","11200000"
"042670","HD현대인프라코어","KOSPI",,"10970","90","0.83","10900","11000","10700","1586738","17181765740","2189649879410","199603453"
"267260","HD현대일렉트릭","KOSPI",,"74300","-1900","-2.49","75500","76800","73600","209621","15675365000","2678302130500","36047135"
"329180","HD현대중공업","KOSPI",,"134300","-1200","-0.89","135500","135500","133000","70436","9446685300","11922229478800","88773116"
"097230","HJ중공업","KOSPI",,"4230","30","0.71","4195","4230","4105","30729","127316165","352250208630","83274281"
