종목코드,종목명,날짜,시가,종가,고가,저가,거래량,상장주식수,PBR
001230,동국홀딩스,20230616,9700.0,12610.0,12610.0,8740.0,1367464.0,15926064,0.16
001230,동국홀딩스,20230619,16390.0,16390.0,16390.0,15550.0,2122636.0,15926064,0.16
001230,동국홀딩스,20230620,17270.0,18210.0,20800.0,16060.0,18317551.0,15926064,0.16
001230,동국홀딩스,20230621,17610.0,18210.0,19760.0,17560.0,4085517.0,15926064,0.16
001230,동국홀딩스,20230622,18400.0,16030.0,18600.0,15990.0,1734488.0,15926064,0.16
001230,동국홀딩스,20230623,15680.0,15290.0,16290.0,14760.0,1552573.0,15926064,0.16
001230,동국홀딩스,20230626,14920.0,14340.0,15870.0,14290.0,1335490.0,15926064,0.16
001230,동국홀딩스,20230627,14330.0,17870.0,18520.0,14300.0,11761258.0,15926064,0.16
001230,동국홀딩스,20230628,17800.0,16300.0,18870.0,16300.0,3525295.0,15926064,0.16
001230,동국홀딩스,20230629,16320.0,17370.0,19670.0,16200.0,12530222.0,15926064,0.16
001230,동국홀딩스,20230630,17160.0,17420.0,18870.0,17040.0,4322767.0,15926064,0.16
001230,동국홀딩스,20230703,17390.0,17320.0,18460.0,17300.0,1605685.0,15926064,0.16
001230,동국홀딩스,20230704,17710.0,17100.0,18000.0,17030.0,913551.0,15926064,0.16
001230,동국홀딩스,20230705,17100.0,16800.0,17590.0,16470.0,1508023.0,15926064,0.16
001230,동국홀딩스,20230706,16800.0,16100.0,16870.0,16080.0,499948.0,15926064,0.16
001230,동국홀딩스,20230707,15700.0,17690.0,18500.0,15700.0,4789164.0,15926064,0.16
001230,동국홀딩스,20230710,17690.0,17440.0,19200.0,17350.0,3292734.0,15926064,0.16
001230,동국홀딩스,20230711,17650.0,18820.0,18950.0,17110.0,3100758.0,15926064,0.16
001230,동국홀딩스,20230712,18440.0,17800.0,18450.0,17730.0,1043503.0,15926064,0.16
001230,동국홀딩스,20230713,18000.0,17830.0,18500.0,17760.0,1033129.0,15926064,0.16
001230,동국홀딩스,20230714,17880.0,17560.0,18170.0,17250.0,546124.0,15926064,0.16
001230,동국홀딩스,20230717,17590.0,16970.0,17870.0,16830.0,437447.0,15926064,0.16
001230,동국홀딩스,20230718,16980.0,16440.0,17190.0,16280.0,351047.0,15926064,0.16
001230,동국홀딩스,20230719,16440.0,15980.0,16570.0,15910.0,293318.0,15926064,0.16
001230,동국홀딩스,20230720,16190.0,16020.0,16220.0,15700.0,230893.0,15926064,0.16
001230,동국홀딩스,20230721,15850.0,15420.0,15950.0,15340.0,253770.0,15926064,0.16
001230,동국홀딩스,20230724,15420.0,14970.0,15430.0,14810.0,311212.0,15926064,0.16
001230,동국홀딩스,20230725,14910.0,14590.0,15150.0,14400.0,350596.0,15926064,0.16
001230,동국홀딩스,20230726,14580.0,12920.0,14580.0,12820.0,449154.0,15926064,0.16
001230,동국홀딩스,20230727,12820.0,12920.0,13310.0,12820.0,287196.0,15926064,0.16
001230,동국홀딩스,20230728,12860.0,13190.0,13440.0,12620.0,333422.0,15926064,0.16
