종목코드,종목명,날짜,시가,종가,고가,저가,거래량,상장주식수,PBR
021820,세원정공,20230102,6120.0,6240.0,6280.0,6110.0,38687.0,10000000,0.16
021820,세원정공,20230103,6240.0,6240.0,6300.0,6120.0,25237.0,10000000,0.16
021820,세원정공,20230104,6100.0,6130.0,6350.0,6080.0,100765.0,10000000,0.16
021820,세원정공,20230105,6180.0,6040.0,6180.0,6020.0,51422.0,10000000,0.16
021820,세원정공,20230106,6080.0,6070.0,6090.0,5990.0,56653.0,10000000,0.16
021820,세원정공,20230109,6080.0,6190.0,6280.0,6080.0,50620.0,10000000,0.16
021820,세원정공,20230110,6130.0,6240.0,6240.0,6120.0,26423.0,10000000,0.16
021820,세원정공,20230111,6280.0,6400.0,6460.0,6200.0,26493.0,10000000,0.16
021820,세원정공,20230112,6490.0,6980.0,7130.0,6350.0,126940.0,10000000,0.16
021820,세원정공,20230113,7440.0,6950.0,7880.0,6890.0,249026.0,10000000,0.16
021820,세원정공,20230116,7140.0,7150.0,7240.0,6980.0,74835.0,10000000,0.16
021820,세원정공,20230117,7150.0,6930.0,7380.0,6910.0,110623.0,10000000,0.16
021820,세원정공,20230118,7090.0,7240.0,7590.0,6910.0,120447.0,10000000,0.16
021820,세원정공,20230119,7220.0,7690.0,7750.0,6950.0,409413.0,10000000,0.16
021820,세원정공,20230120,7750.0,7740.0,7850.0,7570.0,37124.0,10000000,0.16
021820,세원정공,20230125,7740.0,8000.0,8050.0,7720.0,55612.0,10000000,0.16
021820,세원정공,20230126,8000.0,7790.0,8080.0,7790.0,33788.0,10000000,0.16
021820,세원정공,20230127,7860.0,7620.0,7950.0,7100.0,24922.0,10000000,0.16
021820,세원정공,20230130,7580.0,7550.0,7740.0,7510.0,20244.0,10000000,0.16
021820,세원정공,20230131,7520.0,7800.0,7860.0,7360.0,38977.0,10000000,0.16
021820,세원정공,20230201,7740.0,7780.0,7920.0,7740.0,24732.0,10000000,0.16
021820,세원정공,20230202,7740.0,7730.0,7900.0,7650.0,38806.0,10000000,0.16
021820,세원정공,20230203,7910.0,7600.0,7910.0,7530.0,28468.0,10000000,0.16
021820,세원정공,20230206,7600.0,7800.0,7810.0,7470.0,24971.0,10000000,0.16
021820,세원정공,20230207,7700.0,7720.0,7850.0,7620.0,40622.0,10000000,0.16
021820,세원정공,20230208,7880.0,7800.0,7880.0,7690.0,17080.0,10000000,0.16
021820,세원정공,20230209,7850.0,7790.0,7850.0,7700.0,7264.0,10000000,0.16
021820,세원정공,20230210,7790.0,7850.0,7930.0,7740.0,26496.0,10000000,0.16
