종목코드,종목명,날짜,시가,종가,고가,저가,거래량,상장주식수,PBR
000950,전방,20230102,46600.0,43500.0,46600.0,43100.0,3864.0,1680000,0.12
000950,전방,20230103,43500.0,43200.0,44300.0,41100.0,2340.0,1680000,0.12
000950,전방,20230104,43150.0,43250.0,43900.0,42200.0,2122.0,1680000,0.12
000950,전방,20230105,43450.0,42700.0,44100.0,42250.0,919.0,1680000,0.12
000950,전방,20230106,42600.0,43400.0,43750.0,41550.0,2058.0,1680000,0.12
000950,전방,20230109,43400.0,44750.0,45850.0,43400.0,3790.0,1680000,0.12
000950,전방,20230110,44500.0,44850.0,45900.0,44500.0,461.0,1680000,0.12
000950,전방,20230111,45000.0,45650.0,46350.0,44650.0,1403.0,1680000,0.12
000950,전방,20230112,45700.0,44300.0,46450.0,44250.0,3380.0,1680000,0.12
000950,전방,20230113,44350.0,44050.0,45000.0,43550.0,832.0,1680000,0.12
000950,전방,20230116,44500.0,43700.0,44850.0,43100.0,21743.0,1680000,0.12
000950,전방,20230117,43900.0,43550.0,44250.0,43000.0,1222.0,1680000,0.12
000950,전방,20230118,43200.0,43350.0,43900.0,43050.0,830.0,1680000,0.12
000950,전방,20230119,42950.0,43350.0,43550.0,42550.0,822.0,1680000,0.12
000950,전방,20230120,43300.0,42850.0,44800.0,42600.0,898.0,1680000,0.12
000950,전방,20230125,43300.0,43100.0,43750.0,42650.0,445.0,1680000,0.12
000950,전방,20230126,43100.0,43000.0,43250.0,42600.0,997.0,1680000,0.12
000950,전방,20230127,43300.0,43450.0,44450.0,43200.0,2941.0,1680000,0.12
000950,전방,20230130,43450.0,43100.0,44200.0,43000.0,2327.0,1680000,0.12
000950,전방,20230131,43100.0,42750.0,43100.0,42200.0,1361.0,1680000,0.12
000950,전방,20230201,42450.0,42300.0,43450.0,42050.0,5700.0,1680000,0.12
000950,전방,20230202,42300.0,42700.0,43200.0,42000.0,2940.0,1680000,0.12
000950,전방,20230203,42700.0,43150.0,43700.0,42100.0,3079.0,1680000,0.12
000950,전방,20230206,43100.0,43200.0,43500.0,42350.0,2297.0,1680000,0.12
000950,전방,20230207,43000.0,43400.0,43650.0,42950.0,950.0,1680000,0.12
000950,전방,20230208,44150.0,44500.0,44700.0,43450.0,5741.0,1680000,0.12
000950,전방,20230209,44300.0,44000.0,45000.0,43450.0,2510.0,1680000,0.12
000950,전방,20230210,44000.0,44000.0,44700.0,43100.0,4804.0,1680000,0.12
000950,전방,20230213,43800.0,43550.0,43900.0,43100.0,1975.0,1680000,0.12
000950,전방,20230214,43250.0,43800.0,44200.0,43000.0,6191.0,1680000,0.12
000950,전방,20230215,44050.0,43500.0,44050.0,43000.0,2842.0,1680000,0.12
000950,전방,20230216,43500.0,43500.0,43800.0,43150.0,1902.0,1680000,0.12
000950,전방,20230217,43450.0,46350.0,46900.0,43000.0,14596.0,1680000,0.12
000950,전방,20230220,46500.0,51900.0,53700.0,46500.0,35109.0,1680000,0.12
000950,전방,20230221,53500.0,51900.0,53500.0,49050.0,12353.0,1680000,0.12
000950,전방,20230222,51300.0,50100.0,51900.0,49000.0,6379.0,1680000,0.12
000950,전방,20230223,50100.0,49250.0,50100.0,48300.0,5881.0,1680000,0.12
000950,전방,20230224,48150.0,45300.0,48300.0,45000.0,20536.0,1680000,0.12
000950,전방,20230227,45400.0,44600.0,45450.0,44200.0,4223.0,1680000,0.12
000950,전방,20230228,44300.0,44650.0,45700.0,44300.0,3107.0,1680000,0.12
000950,전방,20230302,44800.0,43950.0,44800.0,43600.0,4226.0,1680000,0.12
000950,전방,20230303,44450.0,44450.0,45450.0,44200.0,3146.0,1680000,0.12
000950,전방,20230306,44450.0,44750.0,45600.0,44200.0,7035.0,1680000,0.12
000950,전방,20230307,45000.0,44950.0,45200.0,44500.0,1315.0,1680000,0.12
000950,전방,20230308,44950.0,44750.0,45050.0,44350.0,810.0,1680000,0.12
000950,전방,20230309,44800.0,44200.0,44800.0,44150.0,1521.0,1680000,0.12
000950,전방,20230310,44000.0,44100.0,44500.0,43550.0,1402.0,1680000,0.12
000950,전방,20230313,43850.0,43950.0,43950.0,42900.0,1777.0,1680000,0.12
000950,전방,20230314,43900.0,40500.0,43900.0,40150.0,12316.0,1680000,0.12
000950,전방,20230315,40500.0,40550.0,41150.0,40300.0,1489.0,1680000,0.12
000950,전방,20230316,40050.0,38950.0,40350.0,38800.0,6423.0,1680000,0.12
000950,전방,20230317,38950.0,40100.0,40700.0,38950.0,1577.0,1680000,0.12
000950,전방,20230320,40450.0,39600.0,40450.0,39300.0,1459.0,1680000,0.12
000950,전방,20230321,39800.0,39800.0,39800.0,39000.0,1256.0,1680000,0.12
000950,전방,20230322,40200.0,39250.0,40200.0,39250.0,872.0,1680000,0.12
000950,전방,20230323,39100.0,38950.0,39300.0,38750.0,770.0,1680000,0.12
000950,전방,20230324,38900.0,36900.0,39400.0,36050.0,6813.0,1680000,0.12
000950,전방,20230327,37000.0,37050.0,37350.0,35550.0,2473.0,1680000,0.12
000950,전방,20230328,36700.0,37650.0,37800.0,36450.0,1337.0,1680000,0.12
000950,전방,20230329,37650.0,37050.0,37900.0,37050.0,1556.0,1680000,0.12
000950,전방,20230330,37300.0,37900.0,38150.0,36450.0,1535.0,1680000,0.12
000950,전방,20230331,37900.0,38850.0,39000.0,37400.0,3883.0,1680000,0.12
000950,전방,20230403,39350.0,38050.0,39350.0,37400.0,5666.0,1680000,0.12
000950,전방,20230404,38400.0,38650.0,39100.0,37450.0,3121.0,1680000,0.12
000950,전방,20230405,39500.0,40900.0,41600.0,38750.0,8840.0,1680000,0.12
