종목코드,종목명,날짜,시가,종가,고가,저가,거래량,상장주식수,PBR
003240,태광산업,20230102,744000.0,742000.0,744000.0,732000.0,351.0,1113400,0.13
003240,태광산업,20230103,735000.0,726000.0,736000.0,717000.0,750.0,1113400,0.13
003240,태광산업,20230104,718000.0,718000.0,722000.0,711000.0,647.0,1113400,0.13
003240,태광산업,20230105,714000.0,716000.0,721000.0,714000.0,453.0,1113400,0.13
003240,태광산업,20230106,715000.0,716000.0,722000.0,711000.0,435.0,1113400,0.13
003240,태광산업,20230109,720000.0,729000.0,730000.0,717000.0,514.0,1113400,0.13
003240,태광산업,20230110,725000.0,725000.0,731000.0,722000.0,275.0,1113400,0.13
003240,태광산업,20230111,725000.0,729000.0,736000.0,722000.0,333.0,1113400,0.13
003240,태광산업,20230112,731000.0,728000.0,734000.0,725000.0,387.0,1113400,0.13
003240,태광산업,20230113,728000.0,730000.0,735000.0,728000.0,305.0,1113400,0.13
003240,태광산업,20230116,728000.0,738000.0,743000.0,727000.0,760.0,1113400,0.13
003240,태광산업,20230117,735000.0,727000.0,740000.0,727000.0,599.0,1113400,0.13
003240,태광산업,20230118,724000.0,725000.0,736000.0,722000.0,480.0,1113400,0.13
003240,태광산업,20230119,722000.0,722000.0,726000.0,718000.0,535.0,1113400,0.13
003240,태광산업,20230120,720000.0,721000.0,725000.0,717000.0,593.0,1113400,0.13
003240,태광산업,20230125,721000.0,732000.0,734000.0,720000.0,483.0,1113400,0.13
003240,태광산업,20230126,732000.0,739000.0,750000.0,729000.0,1014.0,1113400,0.13
003240,태광산업,20230127,741000.0,745000.0,753000.0,739000.0,747.0,1113400,0.13
003240,태광산업,20230130,745000.0,739000.0,750000.0,736000.0,601.0,1113400,0.13
003240,태광산업,20230131,742000.0,742000.0,749000.0,733000.0,748.0,1113400,0.13
003240,태광산업,20230201,742000.0,737000.0,745000.0,736000.0,458.0,1113400,0.13
003240,태광산업,20230202,740000.0,739000.0,744000.0,733000.0,422.0,1113400,0.13
003240,태광산업,20230203,734000.0,736000.0,741000.0,732000.0,296.0,1113400,0.13
003240,태광산업,20230206,731000.0,732000.0,732000.0,727000.0,559.0,1113400,0.13
003240,태광산업,20230207,728000.0,727000.0,730000.0,726000.0,552.0,1113400,0.13
003240,태광산업,20230208,726000.0,727000.0,732000.0,725000.0,319.0,1113400,0.13
003240,태광산업,20230209,730000.0,733000.0,740000.0,727000.0,622.0,1113400,0.13
003240,태광산업,20230210,738000.0,735000.0,738000.0,725000.0,748.0,1113400,0.13
003240,태광산업,20230213,740000.0,739000.0,741000.0,732000.0,387.0,1113400,0.13
003240,태광산업,20230214,741000.0,733000.0,743000.0,733000.0,702.0,1113400,0.13
003240,태광산업,20230215,736000.0,728000.0,736000.0,725000.0,675.0,1113400,0.13
003240,태광산업,20230216,732000.0,737000.0,737000.0,728000.0,616.0,1113400,0.13
