종목코드,종목명,날짜,시가,종가,고가,저가,거래량,상장주식수,PBR
004960,한신공영,20230102,8490.0,8080.0,8540.0,7980.0,250480.0,11570702,0.11
004960,한신공영,20230103,8070.0,8050.0,8160.0,7840.0,91817.0,11570702,0.11
004960,한신공영,20230104,8000.0,8270.0,8310.0,8000.0,78734.0,11570702,0.11
004960,한신공영,20230105,8270.0,8830.0,8830.0,8270.0,77657.0,11570702,0.11
004960,한신공영,20230106,8760.0,8790.0,8860.0,8510.0,60328.0,11570702,0.11
004960,한신공영,20230109,8900.0,8930.0,8940.0,8810.0,37551.0,11570702,0.11
004960,한신공영,20230110,8950.0,9020.0,9080.0,8850.0,38158.0,11570702,0.11
004960,한신공영,20230111,9090.0,8930.0,9090.0,8890.0,22970.0,11570702,0.11
004960,한신공영,20230112,8960.0,8880.0,9040.0,8800.0,31971.0,11570702,0.11
004960,한신공영,20230113,8910.0,8900.0,9040.0,8860.0,38466.0,11570702,0.11
004960,한신공영,20230116,8960.0,8880.0,8970.0,8790.0,36584.0,11570702,0.11
004960,한신공영,20230117,8870.0,8860.0,9070.0,8800.0,40607.0,11570702,0.11
004960,한신공영,20230118,8860.0,8700.0,8860.0,8660.0,45121.0,11570702,0.11
004960,한신공영,20230119,8700.0,8760.0,8780.0,8680.0,12207.0,11570702,0.11
004960,한신공영,20230120,8720.0,9030.0,9140.0,8700.0,77289.0,11570702,0.11
004960,한신공영,20230125,9100.0,9100.0,9140.0,9040.0,29937.0,11570702,0.11
004960,한신공영,20230126,9100.0,9180.0,9180.0,9060.0,40047.0,11570702,0.11
004960,한신공영,20230127,9260.0,9230.0,9360.0,9130.0,47100.0,11570702,0.11
004960,한신공영,20230130,9300.0,9220.0,9300.0,9130.0,21298.0,11570702,0.11
004960,한신공영,20230131,9220.0,9150.0,9240.0,9030.0,23207.0,11570702,0.11
004960,한신공영,20230201,9150.0,9150.0,9200.0,9060.0,20559.0,11570702,0.11
004960,한신공영,20230202,9160.0,9180.0,9290.0,9140.0,30613.0,11570702,0.11
004960,한신공영,20230203,9180.0,9180.0,9270.0,9090.0,13666.0,11570702,0.11
004960,한신공영,20230206,9170.0,9080.0,9410.0,8950.0,25333.0,11570702,0.11
004960,한신공영,20230207,9000.0,9120.0,9190.0,9000.0,19187.0,11570702,0.11
004960,한신공영,20230208,9200.0,9330.0,9400.0,9150.0,49000.0,11570702,0.11
004960,한신공영,20230209,9370.0,9290.0,9370.0,9190.0,23244.0,11570702,0.11
004960,한신공영,20230210,9280.0,9100.0,9280.0,9060.0,26986.0,11570702,0.11
